No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Architecture,Use Islands Architecture,Astro 的部分水合只加载交互组件的 JS,具有客户端指令的交互式组件,像传统 SPA 一样滋润整个页面,<Counter client:load />,Everything as client component,High,https://docs.astro.build/en/concepts/islands/
2,Architecture,Default to zero JS,Astro 默认情况下附带零 JS - 仅在需要时添加,没有客户端指令的静态组件,添加客户端：加载到所有内容,<Header /> (static),<Header client:load /> (unnecessary),High,https://docs.astro.build/en/basics/astro-components/
3,Architecture,Choose right client directive,不同补水时间的不同指令,客户端：对于非关键客户端可见客户端：空闲,客户端：加载所有内容,<Comments client:visible />,<Comments client:load />,Medium,https://docs.astro.build/en/reference/directives-reference/#client-directives
4,Architecture,Use content collections,博客文档的类型安全内容管理,结构化内容的内容集合,没有架构的松散 Markdown 文件,const posts = await getCollection('blog'),import.meta.glob('./posts/*.md'),High,https://docs.astro.build/en/guides/content-collections/
5,Architecture,Define collection schemas,用于内容验证的 Zod 模式,具有必填字段和类型的架构,没有架构验证,defineCollection({ schema: z.object({...}) }),defineCollection({}),High,https://docs.astro.build/en/guides/content-collections/#defining-a-collection-schema
6,Routing,Use file-based routing,通过在 pages/中添加.astro 文件来创建路由,路线的页面/目录,手动路由配置,src/pages/about.astro,Custom router setup,Medium,https://docs.astro.build/en/basics/astro-pages/
7,Routing,Dynamic routes with brackets,使用 [param] 进行动态路由,参数的括号表示法,动态内容的查询字符串,pages/blog/[slug].astro,pages/blog.astro?slug=x,Medium,https://docs.astro.build/en/guides/routing/#dynamic-routes
8,Routing,Use getStaticPaths for SSG,在构建时生成静态页面,getStaticPaths 获取已知动态路由,在运行时获取静态内容,export async function getStaticPaths() { return [...] },No getStaticPaths with dynamic route,High,https://docs.astro.build/en/reference/api-reference/#getstaticpaths
9,Routing,Enable SSR when needed,动态内容的服务器端渲染,输出：动态的“服务器”或“混合”,纯静态站点的 SSR,export const prerender = false;,SSR for static blog,Medium,https://docs.astro.build/en/guides/server-side-rendering/
10,Components,Keep .astro for static,将 .astro 组件用于静态内容,用于布局结构的 Astro 组件,React/Vue 用于静态标记,<Layout><slot /></Layout>,<ReactLayout>{children}</ReactLayout>,High,
11,Components,Use framework components for interactivity,React Vue Svelte 实现复杂的交互,带有客户端指令的框架组件,带有内联脚本的 Astro 组件,<ReactCounter client:load />,<script> in .astro for complex state,Medium,https://docs.astro.build/en/guides/framework-components/
12,Components,Pass data via props,Astro 组件在 frontmatter 中接收 props,Astro.props 用于组件数据,简单数据的全局状态,const { title } = Astro.props;,Import global store,Low,https://docs.astro.build/en/basics/astro-components/#component-props
13,Components,Use slots for composition,灵活布局的命名和默认插槽,<slot /> 用于子内容,HTML 内容的道具,"<slot name=""header"" />",<Component header={<div>...</div>} />,Medium,https://docs.astro.build/en/basics/astro-components/#slots
14,Components,Colocate component styles,组件文件中的作用域样式,<style> 在同一个 .astro 文件中,组件样式的单独 CSS 文件,<style> .card { } </style>,import './Card.css',Low,
15,Styling,Use scoped styles by default,Astro 自动将样式设置为组件,<style> 用于组件特定的样式,适用于所有事物的全局样式,<style> h1 { } </style> (scoped),<style is:global> for everything,Medium,https://docs.astro.build/en/guides/styling/#scoped-styles
16,Styling,Use is:global sparingly,仅在真正需要时才使用全局样式,is:global 用于基本样式或覆盖,is:global 组件样式,<style is:global> body { } </style>,<style is:global> .card { } </style>,Medium,
17,Styling,Integrate Tailwind properly,使用 @astrojs/tailwind 集成,官方 Tailwind 集成,手动 Tailwind 设置,npx astro add tailwind,Manual PostCSS config,Low,https://docs.astro.build/en/guides/integrations-guide/tailwind/
18,Styling,Use CSS variables for theming,在 :root 中定义令牌,主题的 CSS 自定义属性,到处都有硬编码的颜色,:root { --primary: #3b82f6; },color: #3b82f6; everywhere,Medium,
19,Data,Fetch in frontmatter,组件 frontmatter 中的数据获取,顶级 await 在 frontmatter,初始数据的 useEffect,const data = await fetch(url),client-side fetch on mount,High,https://docs.astro.build/en/guides/data-fetching/
20,Data,Use Astro.glob for local files,导入多个本地文件,Astro.glob 用于降价/数据文件,每个文件的手动导入,const posts = await Astro.glob('./posts/*.md'),import post1; import post2;,Medium,
21,Data,Prefer content collections over glob,结构化内容的类型安全集合,getCollection() 用于博客/文档,用于结构化内容的 Astro.glob,await getCollection('blog'),await Astro.glob('./blog/*.md'),High,
22,Data,Use environment variables correctly,环境变量的 Import.meta.env,客户端变量的 PUBLIC_ 前缀,向客户揭露秘密,import.meta.env.PUBLIC_API_URL,import.meta.env.SECRET in client,High,https://docs.astro.build/en/guides/environment-variables/
23,Performance,Preload critical assets,对重要资源使用链接预加载,在首屏图像上预加载字体,没有预加载提示,"<link rel=""preload"" href=""font.woff2"" as=""font"">",No preload for critical assets,Medium,
24,Performance,Optimize images with astro:assets,内置图像优化,用于优化的 <Image /> 组件,<img> 用于本地图像,import { Image } from 'astro:assets';,"<img src=""./image.jpg"">",High,https://docs.astro.build/en/guides/images/
25,Performance,Use picture for responsive images,多种格式和尺寸,<图片/>用于艺术指导,适用于所有屏幕的单一图像尺寸,<Picture /> with multiple sources,<Image /> with single size,Medium,
26,Performance,Lazy load below-fold content,推迟加载非关键内容,对于图像客户端，loading=lazy：对于组件可见,立即加载所有内容,"<img loading=""lazy"">",No lazy loading,Medium,
27,Performance,Minimize client directives,每个指令都添加 JS 包,审核客户端：定期使用,洒客户端：到处加载,Only interactive components hydrated,Every component with client:load,High,
28,ViewTransitions,Enable View Transitions,平滑的页面过渡,头部的 <ViewTransitions />,整页重新加载,import { ViewTransitions } from 'astro:transitions';,No transition API,Medium,https://docs.astro.build/en/guides/view-transitions/
29,ViewTransitions,Use transition:name,用于变形的命名元素,过渡：持久元素的名称,未命名的过渡,"<header transition:name=""header"">",<header> without name,Low,
30,ViewTransitions,Handle transition:persist,保持导航状态,过渡：媒体播放器坚持,每次导航时重新初始化,"<video transition:persist id=""player"">",Video restarts on navigation,Medium,
31,ViewTransitions,Add fallback for no-JS,优雅降级,内容无需 JS 即可运行,需要 JS 进行基本导航,Static content accessible,Broken without ViewTransitions JS,High,
32,SEO,Use built-in SEO component,元标签的头管理,Astro SEO 集成或手动头,没有元标签,"<title>{title}</title><meta name=""description"">",No SEO tags,High,
33,SEO,Generate sitemap,自动生成站点地图,@astrojs/站点地图集成,手动站点地图维护,npx astro add sitemap,Hand-written sitemap.xml,Medium,https://docs.astro.build/en/guides/integrations-guide/sitemap/
34,SEO,Add RSS feed for content,博客和内容网站的 RSS,@astrojs/rss 用于提要生成,没有 RSS 提要,rss() helper in pages/rss.xml.js,No feed for blog,Low,https://docs.astro.build/en/guides/rss/
35,SEO,Use canonical URLs,防止重复内容问题,Astro.url 用于规范生成,,"<link rel=""canonical"" href={Astro.url}>",No canonical tags,Medium,
36,Integrations,Use official integrations,Astro 的整合系统,npx astro add 用于集成,手动配置,npx astro add react,Manual React setup,Medium,https://docs.astro.build/en/guides/integrations-guide/
37,Integrations,Configure integrations in astro.config,集中配置,配置中的集成数组,分散配置,"integrations: [react(), tailwind()]",Multiple config files,Low,
38,Integrations,Use adapter for deployment,特定于平台的适配器,主机的正确适配器,适配器错误或没有,@astrojs/vercel for Vercel,No adapter for SSR,High,https://docs.astro.build/en/guides/deploy/
39,TypeScript,Enable TypeScript,Astro 项目的类型安全,具有 astro 类型的 tsconfig.json,没有打字稿,Astro TypeScript template,JavaScript only,Medium,https://docs.astro.build/en/guides/typescript/
40,TypeScript,Type component props,定义 prop 接口,frontmatter 中的 Props 接口,无类型道具,interface Props { title: string },No props typing,Medium,
41,TypeScript,Use strict mode,及早发现错误,strict: tsconfig 中为 true,宽松的 TypeScript 配置,strictest template,base template,Low,
42,Markdown,Use MDX for components,Markdown 内容中的组件,@astrojs/mdx 用于交互式文档,带有解决方法的普通降价,<Component /> in .mdx,HTML in .md files,Medium,https://docs.astro.build/en/guides/integrations-guide/mdx/
43,Markdown,Configure markdown plugins,扩展 Markdown 功能,配置中的 remarkPlugins rehypePlugins,功能的手动 HTML,remarkPlugins: [remarkToc],Manual TOC in every post,Low,
44,Markdown,Use frontmatter for metadata,结构化帖子元数据,带有类型化模式的 Frontmatter,内联元数据,title date in frontmatter,#标题作为第一行,Medium,
45,API,Use API routes for endpoints,页面/api 中的服务器端点,对于 API，pages/api/[endpoint].ts,用于简单端点的外部 API,pages/api/posts.json.ts,Separate Express server,Medium,https://docs.astro.build/en/guides/endpoints/
46,API,Return proper responses,使用响应对象,带标头的新 Response(),普通物体,return new Response(JSON.stringify(data)),return data,Medium,
47,API,Handle methods correctly,导出命名方法处理程序,导出 GET POST 处理程序,单一默认导出,export const GET = async () => {},export default async () => {},Low,
48,Security,Sanitize user content,防止动态内容中的 XSS,set:html 仅适用于受信任的内容,set:html 带有用户输入,<Fragment set:html={sanitized} />,<div set:html={userInput} />,High,
49,Security,Use HTTPS in production,安全连接,适用于所有生产站点的 HTTPS,生产中的 HTTP,https://example.com,http://example.com,High,
50,Security,Validate API input,检查并清理所有输入,API 路由的 Zod 验证,信任所有输入,const body = schema.parse(data),const body = await request.json(),High,
51,Build,Use hybrid rendering,混合静态和动态页面,输出：“混合”以实现灵活性,全 SSR 或全静态,prerender per-page basis,Single rendering mode,Medium,https://docs.astro.build/en/guides/server-side-rendering/#hybrid-rendering
52,Build,Analyze bundle size,监控 JS 包影响,构建输出显示包大小,忽略束增长,Check astro build output,No size monitoring,Medium,
53,Build,Use prefetch,预加载链接页面,预取集成,没有导航预取,npx astro add prefetch,Manual prefetch,Low,https://docs.astro.build/en/guides/prefetch/
