No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,State,Use useState for local state,简单的组件状态应该使用 useState 钩子,表单输入的 useState 切换计数器,类组件 this.state,"const [count, setCount] = useState(0)",this.state = { count: 0 },Medium,https://react.dev/reference/react/useState
2,State,Lift state up when needed,通过提升到父级在兄弟姐妹之间共享状态,将共享状态提升到共同祖先,通过多个级别的属性深层传递 (Prop Drilling),Parent holds state passes down,Deep prop chains,Medium,https://react.dev/learn/sharing-state-between-components
3,State,Use useReducer for complex state,复杂的状态逻辑受益于 Reducer 模式,useReducer 用于具有多个子值的状态,相关值的多个 useState,useReducer with action types,5+ useState calls that update together,Medium,https://react.dev/reference/react/useReducer
4,State,Avoid unnecessary state,尽可能从现有状态导出值,计算渲染中的派生值,将可导出值存储在状态中,const total = items.reduce(...),"const [total, setTotal] = useState(0)",High,https://react.dev/learn/choosing-the-state-structure
5,State,Initialize state lazily,使用函数形式获得昂贵的初始状态,useState(() => 计算昂贵()),useState(计算昂贵()),useState(() => JSON.parse(data)),useState(JSON.parse(data)),Medium,https://react.dev/reference/react/useState#avoiding-recreating-the-initial-state
6,Effects,Clean up effects,返回订阅计时器的清理函数,useEffect 中返回清理函数,无需清理订阅,useEffect(() => { sub(); return unsub; }),useEffect(() => { subscribe(); }),High,https://react.dev/reference/react/useEffect#connecting-to-an-external-system
7,Effects,Specify dependencies correctly,包括 deps 数组中效果内部使用的所有值,依赖数组中的所有引用值,具有外部引用的空依赖项,[value] when using value in effect,[] when using props/state in effect,High,https://react.dev/reference/react/useEffect#specifying-reactive-dependencies
8,Effects,Avoid unnecessary effects,不要使用效果来转换数据或事件,在渲染期间直接转换数据处理事件,useEffect 用于派生状态或事件处理,const filtered = items.filter(...),useEffect(() => setFiltered(items.filter(...))),High,https://react.dev/learn/you-might-not-need-an-effect
9,Effects,Use refs for non-reactive values,在 refs 中存储不会触发重新渲染的值,useRef 用于间隔 ID DOM 元素,useState 用于不需要渲染的值,const intervalRef = useRef(null),"const [intervalId, setIntervalId] = useState()",Medium,https://react.dev/reference/react/useRef
10,Rendering,Use keys properly,列表项的稳定唯一键,使用稳定的 ID 作为密钥,数组索引作为动态列表的键,key={item.id},key={index},High,https://react.dev/learn/rendering-lists#keeping-list-items-in-order-with-key
