No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Async Waterfall,Defer Await,async await defer branch,React/Next.js,将 await 移到实际使用的分支中以避免阻塞未使用的代码路径,将 await 操作移至需要的分支中,在函数顶部 await 阻塞所有分支,if (skip) return { skipped: true }; const data = await fetch(),const data = await fetch(); if (skip) return { skipped: true },Critical
2,Async Waterfall,Promise.all Parallel,promise all parallel concurrent,React/Next.js,使用 Promise.all() 同时执行独立的异步操作,使用 Promise.all() 进行独立操作,独立操作的顺序 await,"const [user, posts] = await Promise.all([fetchUser(), fetchPosts()])",const user = await fetchUser(); const posts = await fetchPosts(),Critical
3,Async Waterfall,Dependency Parallelization,better-all dependency parallel,React/Next.js,对具有部分依赖关系的操作使用 better-all 来最大化并行性,使用 better-all 尽早开始每项任务,在启动有关联的请求 (dependent fetch) 前，先等待了不相关的数据请求返回,"await all({ user() {}, config() {}, profile() { return fetch((await this.$.user).id) } })","const [user, config] = await Promise.all([...]); const profile = await fetchProfile(user.id)",Critical
4,Async Waterfall,API Route Optimization,api route waterfall promise,React/Next.js,在 API 路由中，即使尚未 await，也会立即启动独立操作,早开始 Promise，推迟 await,API 处理程序中的顺序 await,const sessionP = auth(); const configP = fetchConfig(); const session = await sessionP,const session = await auth(); const config = await fetchConfig(),Critical
5,Async Waterfall,Suspense Boundaries,suspense streaming boundary,React/Next.js,使用 Suspense 在数据加载时更快地显示包装 UI,将异步组件包装在 Suspense 边界中,等待数据 (await)阻塞整个页面渲染,<Suspense fallback={<Skeleton />}><DataDisplay /></Suspense>,const data = await fetchData(); return <DataDisplay data={data} />,High
6,Bundle Size,Barrel Imports,barrel import direct path,React/Next.js,直接从源文件而不是桶文件导入，以避免加载未使用的模块,直接从源路径导入,从桶/索引文件导入,import Check from 'lucide-react/dist/esm/icons/check',import { Check } from 'lucide-react',Critical
7,Bundle Size,Dynamic Imports,dynamic import lazy next,React/Next.js,使用 next/dynamic 延迟加载初始渲染时不需要的大型组件,对重型组件使用 dynamic(),顶级进口重型部件,"const Monaco = dynamic(() => import('./monaco'), { ssr: false })",import { MonacoEditor } from './monaco-editor',Critical
8,Bundle Size,Defer Third Party,analytics defer third-party,React/Next.js,水合后加载分析和日志记录，因为它们不会阻止交互,水合后加载非关键脚本,在主包中包含分析,"const Analytics = dynamic(() => import('@vercel/analytics'), { ssr: false })",import { Analytics } from '@vercel/analytics/react',Medium
9,Bundle Size,Conditional Loading,conditional module lazy,React/Next.js,仅在激活功能时加载大数据或模块,启用功能时动态导入,无条件导入大模块,"useEffect(() => { if (enabled) import('./heavy.js') }, [enabled])",import { heavyData } from './heavy.js',High
10,Bundle Size,Preload Intent,preload hover focus intent,React/Next.js,在需要之前在悬停/聚焦时预加载重型捆绑包,预加载用户意图信号,仅在单击时加载,onMouseEnter={() => import('./editor')},onClick={() => import('./editor')},Medium
