Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Setup,CDN Version Lock,始终使用 cdnjs 中的 Three.js r128。这是稳定的 CDN 基线。切勿使用浮动“最新”URL — 当 CDN 更新时，它会在没有警告的情况下悄然中断。,固定到每个 HTML 文件中的确切 r128 cdnjs URL,使用 unpkg@latest 或任何可以静默更新的无版本 CDN URL,"<script src=""https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js""></script>","<script src=""https://unpkg.com/ Three@latest""></script>",Critical,https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js
Setup,CapsuleGeometry Does Not Exist in r128,THREE.CapsuleGeometry 在 r142 中引入。在 r128 CDN 上使用它会抛出“CapsuleGeometry 不是构造函数”并使整个场景崩溃。相反，从基元构建一个胶囊。,用 CylinderGeometry 加上两个 SphereGeometry 端盖构建一个胶囊,在 r128 上调用 THREE.CapsuleGeometry — 它未定义并立即抛出,"const body = new THREE.Mesh(new THREE.CylinderGeometry(0.5, 0.5, 1, 16), mat); const topCap = new THREE.Mesh(new THREE.SphereGeometry(0.5, 16, 8), mat); const botCap = new THREE.Mesh(new THREE.SphereGeometry(0.5, 16, 8), mat); topCap.position.y = 0.5; botCap.position.y = -0.5; const group = new THREE.Group(); group.add(body, topCap, botCap);","const cap = new THREE.CapsuleGeometry(0.5, 1, 4, 8); //类型错误：CapsuleGeometry 不是 r128 上的构造函数",Critical,https://threejs.org/docs/#api/en/geometries/CapsuleGeometry
Setup,OrbitControls Must Be Loaded Separately,OrbitControls 未捆绑在核心 Three.js r128 CDN 文件中。它位于 example/js 中，必须从单独的 cdnjs 脚本标记加载。没有它，THREE.OrbitControls 就无法定义。,在场景脚本之前从 cdnjs 示例路径加载 OrbitControls 脚本,仅加载核心 Three.js CDN 脚本后，预计 THREE.OrbitControls 存在,"<!-- 在核心 Three.js 脚本之后加载 --> <script src=""https://cdnjs.cloudflare.com/ajax/libs/ Three.js/r128/examples/js/controls/OrbitControls.min.js""></script>","<!-- 仅加载核心 — OrbitControls 未定义 --> <script src=""https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js""></script>",Critical,https://cdnjs.com/libraries/three.js/r128
Setup,Custom Drag Orbit Fallback,当 OrbitControls 无法加载时，使用 mousedown/mousemove/mouseup 实现球形轨道。关键是在球坐标中旋转，因此水平和垂直拖动都能正常工作。,在球坐标中旋转相机，以便两个轴都能正确响应拖动,直接移动 camera.position.x——垂直拖动被默默忽略并且轨道不正确,"let dragging = false; let prev = { x: 0, y: 0 }; const radius = camera.position.length(); let theta = 0; let phi = Math.PI / 2; canvas.addEventListener('mousedown', () => dragging = true); canvas.addEventListener('mouseup', () => dragging = false); canvas.addEventListener('mousemove', e => { if (!dragging) return; theta -= (e.clientX - prev.x) * 0.005; phi = Math.max(0.1, Math.min(Math.PI - 0.1, phi - (e.clientY - prev.y) * 0.005)); camera.position.set(radius * Math.sin(phi) * Math.sin(theta), radius * Math.cos(phi), radius * Math.sin(phi) * Math.cos(theta)); camera.lookAt(scene.position); prev = { x: e.clientX, y: e.clientY }; });","let dragging = false; let prev = { x: 0, y: 0 }; canvas.addEventListener('mousemove', e => { if (!dragging) return; camera.position.x += (e.clientX - prev.x) * 0.005; camera.lookAt(scene.position); prev = { x: e.clientX, y: e.clientY }; }); //BUG：忽略 Y 拖动；轨道是水平滑动而不是球体",High,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent
Setup,ESM vs CDN Import,使用捆绑器时，导入 Three.js 作为 ES 模块。使用 CDN 时，THREE 全局变量已经可用 - 不要再次导入。混合两者会加载 Three.js 两次并导致微妙的运行时错误。,将导入风格与构建环境相匹配：用于捆绑器的 ESM 导入；依赖 window.THREE 全局的 CDN 页面,将 CDN 脚本标签与 ES 模块导入混合在同一文件中,//Bundler 项目 (Vite / webpack): import * as THREE from ' Three'; // CDN 项目 — 无需导入；脚本标记之后的 THREE 已经是全局的,"<!-- CDN 脚本 --> <script src=""r128.cdn""></script> <script type=""module""> import * as THREE from 'three'; //加载 Three.js 两次 — 版本不匹配风险 </script>",Critical,https://threejs.org/docs/#manual/en/introduction/Installation
Setup,Single Renderer Per Page,在页面的生命周期内创建一个 WebGLRenderer 实例。多个渲染器竞争浏览器 GPU 上下文限制（8-16 个上下文）并导致上下文丢失错误，尤其是在移动设备上。,重用单个渲染器并交换场景内容，而不是重新创建渲染器,在每个组件安装或场景转换上创建一个新的渲染器,"const renderer = new THREE.WebGLRenderer({ antialias: true, alpha: true }); renderer.setPixelRatio(Math.min(window.devicePixelRatio, 2)); renderer.setSize(canvas.clientWidth, canvas.clientHeight); //渲染器的生命周期为页面生命周期",function showScene() { const renderer = new THREE.WebGLRenderer(); document.body.appendChild(renderer.domElement); } showScene(); showScene(); //两个 GPU 上下文 — 在移动设备上崩溃,Critical,https://threejs.org/docs/#api/en/renderers/WebGLRenderer
Setup,Pixel Ratio Cap at 2,将 devicePixelRatio 设置为 2。Retina 显示报告为 3 倍或更高。从 2 倍增加到 3 倍，像素数增加了 2.25 倍，但在正常观看距离下没有明显的质量改进。,"应用 Math.min(window.devicePixelRatio, 2) — 上限为 2 而不是 3",直接传递 window.devicePixelRatio，没有任何上限,"renderer.setPixelRatio(Math.min(window.devicePixelRatio, 2));",renderer.setPixelRatio(window.devicePixelRatio); //3x 显示 = 每个 CSS 像素 9 个像素 = 2.25x GPU 成本，实现零质量增益,High,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.setPixelRatio
Setup,Alpha Canvas Plus CSS Background,在渲染器上设置 alpha:true 并通过 CSS 而不是渲染器清晰颜色来控制背景颜色。这会将画布正确地合成到其后面的任何 HTML 内容上。,在渲染器上设置 alpha:true 并让 body 或父 div 提供背景颜色,当画布必须在其后面的 HTML 上合成时，设置纯渲染器透明颜色,"const renderer = new THREE.WebGLRenderer({ alpha: true }); renderer.setClearColor(0x000000, 0); //完全透明的画布 // body { background: #0d0d0d; } 处理可见颜色",renderer.setClearColor(0x111827); //完全不透明 — 画布后面的 HTML 被屏蔽,Medium,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.setClearColor
Camera,Aspect Ratio on Resize,始终更新 camera.aspect 并在每个调整大小处理程序中调用 camera.updateProjectionMatrix()。陈旧的纵横比会导致整个场景看起来水平拉伸或挤压。,更新 camera.aspect，然后在每次调整大小时调用 updateProjectionMatrix(),在浏览器窗口改变大小后让宽高比变得陈旧,"window.addEventListener('resize', () => { camera.aspect = canvas.clientWidth / canvas.clientHeight; camera.updateProjectionMatrix(); renderer.setSize(canvas.clientWidth, canvas.clientHeight); });",//无调整大小处理程序 - 场景拉伸以填充更宽的窗口而不校正投影,High,https://threejs.org/docs/#api/en/cameras/PerspectiveCamera
Camera,FOV Range 45 to 75,使用 45 到 75 度之间的视野。低于 45 会产生压缩长焦失真。高于 90 会在帧边缘产生明显的鱼眼失真。,一般交互场景从 75 开始；使用 45–55 进行产品特写,没有刻意的艺术原因而使用高于 90 或低于 30 的视场,"const camera = new THREE.PerspectiveCamera(75, aspect, 0.1, 1000); //一般 const camera = new THREE.PerspectiveCamera(50, 方面, 0.1, 1000); // 产品截图","const camera = new THREE.PerspectiveCamera(120, aspect, 0.1, 1000); //所有边缘都有鱼眼畸变",Medium,https://threejs.org/docs/#api/en/cameras/PerspectiveCamera
