No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use CLI for installation,通过 shadcn CLI 安装组件以进行正确设置,npx shadcn@最新添加组件名称,从文档手动复制粘贴,npx shadcn@latest add button,Copy component code manually,High,https://ui.shadcn.com/docs/cli
2,Setup,Initialize project properly,运行 init 命令来设置 Components.json 和 globals.css,添加组件之前 npx shadcn@latest init,跳过 init，直接添加组件,npx shadcn@latest init,npx shadcn@latest add button (without init),High,https://ui.shadcn.com/docs/installation
3,Setup,Configure path aliases,在 tsconfig 和 Components.json 中设置正确的导入别名,使用@/components/ui 路径别名,相对导入，如 ../../components,"import { Button } from ""@/components/ui/button""","import { Button } from ""../../components/ui/button""",Medium,https://ui.shadcn.com/docs/installation
4,Theming,Use CSS variables for colors,在 globals.css 中将颜色定义为 CSS 变量以进行主题化,:root 和 .dark 中的 CSS 变量,组件中的硬编码颜色值,bg-primary text-primary-foreground,bg-blue-500 text-white,High,https://ui.shadcn.com/docs/theming
5,Theming,Follow naming convention,使用带有前景图案的语义颜色名称,主要/主要前景次要/次要前景,通用颜色名称,--primary --primary-foreground,--blue --light-blue,Medium,https://ui.shadcn.com/docs/theming
6,Theming,Support dark mode,包括所有自定义 CSS 的 .dark 类样式,定义 :root 和 .dark 配色方案,仅亮色模式颜色,.dark { --background: 240 10% 3.9%; },No .dark class styles,High,https://ui.shadcn.com/docs/dark-mode
7,Components,Use component variants,利用 cva 变体实现一致的样式,对不同的风格使用变体道具,内联条件类,"<Button variant=""destructive"">","<Button className={isError ? ""bg-red-500"" : ""bg-blue-500""}>",Medium,https://ui.shadcn.com/docs/components/button
8,Components,Compose with className,通过 className 属性添加自定义类以进行覆盖,使用 className 进行扩展以进行一次性定制,直接修改组件源码,"<Button className=""w-full"">",Edit button.tsx to add w-full,Medium,https://ui.shadcn.com/docs/components/button
9,Components,Use size variants consistently,应用 size 属性以确保组件之间的大小保持一致,"size=""sm"" size=""lg"" 用于调整尺寸",混合尺码类别不一致,"<Button size=""lg"">","<Button className=""text-lg px-8 py-4"">",Medium,https://ui.shadcn.com/docs/components/button
10,Components,Prefer compound components,使用提供的子组件来实现复杂的 UI,卡+卡标题+卡内容模式,具有多个 props 的单个组件,<Card><CardHeader><CardTitle>,"<Card title=""x"" content=""y"" footer=""z"">",Medium,https://ui.shadcn.com/docs/components/card
11,Dialog,Use Dialog for modal content,覆盖模式窗口的对话框组件,确认表单详细信息对话框,模式内容警报,<Dialog><DialogContent>,<Alert> styled as modal,High,https://ui.shadcn.com/docs/components/dialog
12,Dialog,Handle dialog state properly,对受控对话框使用 open 和 onOpenChange,使用 useState 控制状态,不受控制，仅默认打开,<Dialog open={open} onOpenChange={setOpen}>,<Dialog defaultOpen={true}>,Medium,https://ui.shadcn.com/docs/components/dialog
13,Dialog,Include proper dialog structure,使用 DialogHeader DialogTitle DialogDescription,完整的语义结构,缺少标题或描述,<DialogHeader><DialogTitle><DialogDescription>,<DialogContent><p>Content</p></DialogContent>,High,https://ui.shadcn.com/docs/components/dialog
14,Sheet,Use Sheet for side panels,用于滑出面板和抽屉的板材组件,导航过滤器设置表,侧面内容对话框,"<Sheet side=""right"">",<Dialog> with slide animation,Medium,https://ui.shadcn.com/docs/components/sheet
15,Sheet,Specify sheet side,设置板材滑动方向的侧支撑,"显式 side=""left"" 或 side=""right""",默认方不考虑,"<Sheet><SheetContent side=""left"">",<Sheet><SheetContent>,Low,https://ui.shadcn.com/docs/components/sheet
16,Form,Use Form with react-hook-form,将 Form 组件与 react-hook-form 集成以进行验证,使用 Form + Form + FormField 模式,无需表单的自定义表单处理,<Form {...form}><FormField control={form.control}>,<form onSubmit={handleSubmit}>,High,https://ui.shadcn.com/docs/components/form
17,Form,Use FormField for inputs,将输入包装在 FormField 中以进行正确的标记和错误,表单字段 + 表单项 + 表单标签 + 表单控件,没有 FormField 包装器的输入,<FormField><FormItem><FormLabel><FormControl><Input>,<Input onChange={...}>,High,https://ui.shadcn.com/docs/components/form
18,Form,Display form messages,使用 FormMessage 进行验证错误显示,FormControl 之后的 FormMessage,没有 FormMessage 的自定义错误文本,<FormControl><Input/></FormControl><FormMessage/>,<Input/>{error && <span>{error}</span>},Medium,https://ui.shadcn.com/docs/components/form
19,Form,Use Zod for validation,使用 Zod 定义表单架构以进行类型安全验证,带有表单模式的 zodResolver,手动验证逻辑,zodResolver(formSchema),validate: (values) => { if (!values.email) },Medium,https://ui.shadcn.com/docs/components/form
20,Select,Use Select for dropdowns,选择用于选项选择的组件,从列表中选择,原生选择元素,<Select><SelectTrigger><SelectContent>,<select><option>,Medium,https://ui.shadcn.com/docs/components/select
21,Select,Structure Select properly,包括触发值内容和项目,完整的选择结构,缺少 SelectValue 或 SelectContent,<SelectTrigger><SelectValue/></SelectTrigger><SelectContent><SelectItem>,<Select><option>,High,https://ui.shadcn.com/docs/components/select
22,Command,Use Command for search,用于可搜索列表和调色板的命令组件,用于命令面板搜索的命令,使用自定义下拉菜单输入,<Command><CommandInput><CommandList>,"<Input><div className=""dropdown"">",Medium,https://ui.shadcn.com/docs/components/command
23,Command,Group command items,使用 CommandGroup 来分类项目,带有部分标题的 CommandGroup,没有分组的扁平列表,"<CommandGroup heading=""Suggestions""><CommandItem>",<CommandItem> without groups,Low,https://ui.shadcn.com/docs/components/command
24,Table,Use Table for data display,结构化数据的表组件,用于表格数据显示的表格,用于类似表格布局的 Div 网格,<Table><TableHeader><TableBody><TableRow>,"<div className=""grid"">",Medium,https://ui.shadcn.com/docs/components/table
25,Table,Include proper table structure,使用 TableHeader TableBody TableRow TableCell,语义表结构,头部或身体缺失,<TableHeader><TableRow><TableHead>,<Table><TableRow> without header,High,https://ui.shadcn.com/docs/components/table
26,DataTable,Use DataTable for complex tables,将 Table 与 TanStack Table 结合使用以获取功能,用于排序过滤分页的 DataTable 模式,自定义表实现,useReactTable + Table components,Custom sort filter pagination logic,Medium,https://ui.shadcn.com/docs/components/data-table
27,Tabs,Use Tabs for content switching,用于选项卡式界面的选项卡组件,相关内容部分的选项卡,自定义选项卡实现,<Tabs><TabsList><TabsTrigger><TabsContent>,<div onClick={() => setTab(...)},Medium,https://ui.shadcn.com/docs/components/tabs
28,Tabs,Set default tab value,指定初始选项卡的 defaultValue,Tabs 组件上的 defaultValue,没有默认离开第一个选项卡,"<Tabs defaultValue=""account"">",<Tabs> without defaultValue,Low,https://ui.shadcn.com/docs/components/tabs
29,Accordion,Use Accordion for collapsible,可扩展内容部分的手风琴,常见问题解答设置面板的折叠式,自定义折叠实现,<Accordion><AccordionItem><AccordionTrigger>,<div onClick={() => setOpen(!open)}>,Medium,https://ui.shadcn.com/docs/components/accordion
30,Accordion,Choose accordion type,"适当使用 type=""single"" 或 type=""multiple""","type=""single"" 表示一个打开 type=""multiple"" 表示多个",默认类型，无需考虑,"<Accordion type=""single"" collapsible>",<Accordion> without type,Low,https://ui.shadcn.com/docs/components/accordion
31,Toast,Use Sonner for toasts,Sonner 集成用于 Toast 通知,来自 sonner 的 toast() 用于通知,自定义 toast 实现,"toast(""Event created"")",setShowToast(true),Medium,https://ui.shadcn.com/docs/components/sonner
32,Toast,Add Toaster to layout,在根布局中包含 Toaster 组件,应用布局中的 <Toaster />,各个页面中的烤面包机,app/layout.tsx: <Toaster />,page.tsx: <Toaster />,High,https://ui.shadcn.com/docs/components/sonner
33,Toast,Use toast variants,应用 toast.success toast.error 作为上下文,语义 Toast 方法,所有消息的通用 toast,"toast.success(""Saved!"") toast.error(""Failed"")","toast(""Saved!"") toast(""Failed"")",Medium,https://ui.shadcn.com/docs/components/sonner
34,Popover,Use Popover for floating content,下拉菜单和浮动面板的弹出窗口,用于上下文操作的弹出窗口,绝对定位的 div,<Popover><PopoverTrigger><PopoverContent>,"<div className=""relative""><div className=""absolute"">",Medium,https://ui.shadcn.com/docs/components/popover
35,Popover,Handle popover alignment,使用 align 和 side props 进行定位,显式对齐配置,全部默认对齐方式,"<PopoverContent align=""start"" side=""bottom"">",<PopoverContent>,Low,https://ui.shadcn.com/docs/components/popover
36,DropdownMenu,Use DropdownMenu for actions,用于操作列表和上下文菜单的下拉菜单,用于用户菜单操作的 DropdownMenu,操作列表的弹出窗口,<DropdownMenu><DropdownMenuTrigger><DropdownMenuContent>,<Popover> for menu actions,Medium,https://ui.shadcn.com/docs/components/dropdown-menu
37,DropdownMenu,Group menu items,使用 DropdownMenuGroup 和 DropdownMenuSeparator,带分隔符的组织菜单,平面项目清单,<DropdownMenuGroup><DropdownMenuItem><DropdownMenuSeparator>,<DropdownMenuItem> without organization,Low,https://ui.shadcn.com/docs/components/dropdown-menu
38,Tooltip,Use Tooltip for hints,图标按钮和截断文本的工具提示,其他上下文的工具提示,工具提示的标题属性,<Tooltip><TooltipTrigger><TooltipContent>,"<button title=""Delete"">",Medium,https://ui.shadcn.com/docs/components/tooltip
39,Tooltip,Add TooltipProvider,将应用程序或部分包装在 TooltipProvider 中,应用程序级别的 TooltipProvider,每个工具提示的 TooltipProvider,<TooltipProvider><App/></TooltipProvider>,<Tooltip><TooltipProvider>,High,https://ui.shadcn.com/docs/components/tooltip
40,Skeleton,Use Skeleton for loading,用于加载占位符的骨架组件,骨架匹配内容布局,用于内容加载的微调器,"<Skeleton className=""h-4 w-[200px]""/>",<Spinner/> for card loading,Medium,https://ui.shadcn.com/docs/components/skeleton
41,Skeleton,Match skeleton dimensions,调整骨架大小以匹配加载的内容,骨架大小与预期内容相同,通用骨架尺寸,"<Skeleton className=""h-12 w-12 rounded-full""/>",<Skeleton/> without sizing,Medium,https://ui.shadcn.com/docs/components/skeleton
42,AlertDialog,Use AlertDialog for confirms,用于确认破坏性操作的警报对话框,用于删除确认的警报对话框,确认对话框,<AlertDialog><AlertDialogTrigger><AlertDialogContent>,<Dialog> for delete confirmation,High,https://ui.shadcn.com/docs/components/alert-dialog
43,AlertDialog,Include action buttons,使用 AlertDialogAction 和 AlertDialogCancel,标准确认/取消模式,AlertDialog 中的自定义按钮,<AlertDialogCancel>Cancel</AlertDialogCancel><AlertDialogAction>,<Button>Cancel</Button><Button>Confirm</Button>,Medium,https://ui.shadcn.com/docs/components/alert-dialog
44,Sidebar,Use Sidebar for navigation,用于应用程序导航的侧边栏组件,主应用程序导航的侧边栏,自定义侧边栏实现,<SidebarProvider><Sidebar><SidebarContent>,"<div className=""w-64 fixed"">",Medium,https://ui.shadcn.com/docs/components/sidebar
45,Sidebar,Wrap in SidebarProvider,使用 SidebarProvider 进行侧边栏状态管理,布局级别的 SidebarProvider,没有提供者的侧边栏,<SidebarProvider><Sidebar></SidebarProvider>,<Sidebar> without provider,High,https://ui.shadcn.com/docs/components/sidebar
46,Sidebar,Use SidebarTrigger,包括用于移动切换的 SidebarTrigger,用于响应式切换的 SidebarTrigger,自定义切换按钮,<SidebarTrigger/>,<Button onClick={() => toggleSidebar()}>,Medium,https://ui.shadcn.com/docs/components/sidebar
47,Chart,Use Chart for data viz,与 Recharts 集成的图表组件,仪表板的图表组件,无需包装器即可直接重新图表,<ChartContainer config={chartConfig}>,<ResponsiveContainer><BarChart>,Medium,https://ui.shadcn.com/docs/components/chart
48,Chart,Define chart config,创建 ChartConfig 以实现一致的主题,带有颜色定义的图表配置,图表中的内嵌颜色,"{ desktop: { label: ""Desktop"", color: ""#2563eb"" } }","<Bar fill=""#2563eb""/>",Medium,https://ui.shadcn.com/docs/components/chart
49,Chart,Use ChartTooltip,应用 ChartTooltip 进行交互式图表,ChartTooltip 和 ChartTooltipContent,直接重新绘制工具提示,<ChartTooltip content={<ChartTooltipContent/>}/>,<Tooltip/> from recharts,Low,https://ui.shadcn.com/docs/components/chart
50,Blocks,Use blocks for scaffolding,从常见布局的 shadcn 块开始,npx shadcn@最新添加仪表板-01,从头开始构建仪表板,npx shadcn@latest add login-01,Custom login page from scratch,Medium,https://ui.shadcn.com/blocks
51,Blocks,Customize block components,修改复制的块代码以满足需要,安装后编辑块文件,无需修改即可使用块,Customize dashboard-01 layout,Use dashboard-01 as-is,Low,https://ui.shadcn.com/blocks
52,A11y,Use semantic components,Shadcn 组件内置 ARIA,依赖组件的可访问性,覆盖 ARIA 属性,<Button> has button role,"<div role=""button"">",High,https://ui.shadcn.com/docs/components/button
53,A11y,Maintain focus management,对话框工作表自动处理焦点,让组件管理焦点,自定义焦点处理,<Dialog> traps focus,document.querySelector().focus(),High,https://ui.shadcn.com/docs/components/dialog
54,A11y,Provide labels,适当使用 FormLabel 和 aria-label,用于表单输入的 FormLabel,占位符作为唯一标签,<FormLabel>Email</FormLabel><Input/>,"<Input placeholder=""Email""/>",High,https://ui.shadcn.com/docs/components/form
55,Performance,Import components individually,仅导入需要的组件,从组件文件命名导入,从索引导入全部,"import { Button } from ""@/components/ui/button""","import { Button Card Dialog } from ""@/components/ui""",Medium,
56,Performance,Lazy load dialogs,动态导入大量对话框内容,React.lazy 用于对话框内容,预先导入所有对话框,const HeavyContent = lazy(() => import('./Heavy')),import HeavyContent from './Heavy',Medium,
57,Customization,Extend variants with cva,使用 class-variance-authority 添加新变体,扩展按钮变体以获得新样式,变体的内联类,"variants: { size: { xl: ""h-14 px-8"" } }","className=""h-14 px-8""",Medium,https://ui.shadcn.com/docs/components/button
58,Customization,Create custom components,按照 shadcn 模式构建新组件,对自定义组件使用 cn() 和 cva,不同图案可定制,"const Custom = ({ className }) => <div className={cn(""base"" className)}>",const Custom = ({ style }) => <div style={style}>,Medium,
59,Patterns,Use asChild for composition,用于组件组合的 asChild 属性,带有 asChild 的插槽模式,组合的包装 div,"<Button asChild><Link href=""/"">","<Button><Link href=""/""></Link></Button>",Medium,https://ui.shadcn.com/docs/components/button
60,Patterns,Combine with React Hook Form,Form + useForm 获取完整表格,带 shadcn 输入的 RHF 控制器,自定义表单状态管理,"<FormField control={form.control} name=""email"">",<Input value={email} onChange={(e) => setEmail(e.target.value)},High,https://ui.shadcn.com/docs/components/form
