No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use App Router for new projects,App Router 是 Next.js 14+ 中推荐的方法,app/ 目录与 page.tsx,页/用于新项目,app/dashboard/page.tsx,pages/dashboard.tsx,Medium,https://nextjs.org/docs/app
2,Routing,Use file-based routing,通过在应用程序目录中添加文件来创建路由,page.tsx 用于路线 layout.tsx 用于布局,手动路由配置,app/blog/[slug]/page.tsx,Custom router setup,Medium,https://nextjs.org/docs/app/building-your-application/routing
3,Routing,Colocate related files,保持组件样式测试及其路径,page.tsx 旁边的组件文件,单独的组件文件夹,app/dashboard/_components/,components/dashboard/,Low,
4,Routing,Use route groups for organization,对路由进行分组而不影响 URL,路由组的括号,影响 URL 的嵌套文件夹,(marketing)/about/page.tsx,marketing/about/page.tsx,Low,https://nextjs.org/docs/app/building-your-application/routing/route-groups
5,Routing,Handle loading states,使用 loading.tsx 进行路由加载 UI,与 page.tsx 一起加载.tsx,手动加载状态管理,app/dashboard/loading.tsx,useState for loading in page,Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
6,Routing,Handle errors with error.tsx,在路由级别捕获错误,error.tsx 具有重置功能,在每个组件中尝试/捕获,app/dashboard/error.tsx,try/catch in page component,High,https://nextjs.org/docs/app/building-your-application/routing/error-handling
7,Rendering,Use Server Components by default,服务器组件减少客户端 JS 捆绑,默认保留组件服务器,添加不必要的“使用客户端”,export default function Page(),('use client') for static content,High,https://nextjs.org/docs/app/building-your-application/rendering/server-components
8,Rendering,Mark Client Components explicitly,交互式组件“使用客户端”,仅在需要时添加“使用客户端”,带有钩子/事件的服务器组件,('use client') for onClick useState,No directive with useState,High,https://nextjs.org/docs/app/building-your-application/rendering/client-components
9,Rendering,Push Client Components down,将客户端组件保留为叶节点,仅用于交互部分的客户端包装,将页面标记为客户端组件,<InteractiveButton/> in Server Page,('use client') on page.tsx,High,
10,Rendering,Use streaming for better UX,流式传输具有悬念边界的内容,缓慢数据获取的暂停,渲染前等待所有数据,<Suspense><SlowComponent/></Suspense>,await allData then render,Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
11,Rendering,Choose correct rendering strategy,SSG 用于静态 SSR 用于动态 ISR 用于半静态,已知路径的 generateStaticParams,静态内容的 SSR,export const revalidate = 3600,fetch without cache config,Medium,
12,DataFetching,Fetch data in Server Components,直接在异步服务器组件中获取,异步函数 Page() { const data = wait fetch() },初始数据的 useEffect,const data = await fetch(url),useEffect(() => fetch(url)),High,https://nextjs.org/docs/app/building-your-application/data-fetching
13,DataFetching,Configure caching explicitly (Next.js 15+),Next.js 15 将默认值更改为不缓存以进行获取,显式设置缓存：静态数据的“force-cache”,假设默认值被缓存（它不在 Next.js 15 中）,fetch(url { cache: 'force-cache' }),fetch(url) //v15 中未缓存,High,https://nextjs.org/docs/app/building-your-application/upgrading/version-15
14,DataFetching,Deduplicate fetch requests,React 和 Next.js 删除相同请求的重复数据,多个组件中的相同提取调用,手动请求重复数据删除,Multiple components fetch same URL,Custom cache layer,Low,
15,DataFetching,Use Server Actions for mutations,表单提交的服务器操作,表单中的 action={serverAction},每个突变的 API 路径,<form action={createPost}>,<form onSubmit={callApiRoute}>,Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
