No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Widgets,Use StatelessWidget when possible,不可变的小部件更简单,用于静态 UI 的 StatelessWidget,适用于一切的 StatefulWidget,class MyWidget extends StatelessWidget,class MyWidget extends StatefulWidget (static),Medium,https://api.flutter.dev/flutter/widgets/StatelessWidget-class.html
2,Widgets,Keep widgets small,单一责任原则,将小部件提取成更小的部分,大型构建方法,Column(children: [Header() Content()]),500+ line build method,Medium,
3,Widgets,Use const constructors,性能的编译时常数,尽可能 const MyWidget(),静态小部件的非常量,const Text('Hello'),Text('Hello') for literals,High,https://dart.dev/guides/language/language-tour#constant-constructors
4,Widgets,Prefer composition over inheritance,使用子组件组合小部件,编写小部件,扩展小部件类,Container(child: MyContent()),class MyContainer extends Container,Medium,
5,State,Use setState correctly,StatefulWidget 中的最小状态,setState 用于 UI 状态更改,setState 用于业务逻辑,setState(() { _counter++; }),Complex logic in setState,Medium,https://api.flutter.dev/flutter/widgets/State/setState.html
6,State,Avoid setState in build,切勿在构建期间调用 setState,setState 仅在回调中,构建方法中的 setState,onPressed: () => setState(() {}),build() { setState(); },High,
7,State,Use state management for complex apps,提供商 Riverpod BLoC,共享状态的状态管理,setState 全局状态,Provider.of<MyState>(context),Global setState calls,Medium,
8,State,Prefer Riverpod or Provider,推荐状态解决方案,Riverpod 新项目,手动继承 Widget,ref.watch(myProvider),Custom InheritedWidget,Medium,https://riverpod.dev/
9,State,Dispose resources,清理控制器和订阅,dispose() 进行清理,订阅造成的内存泄漏,@override void dispose() { controller.dispose(); },No dispose implementation,High,
10,Layout,Use Column and Row,基本布局小部件,线性布局的列行,简单布局的堆栈,"Column(children: [Text(), Button()])",Stack for vertical list,Medium,https://api.flutter.dev/flutter/widgets/Column-class.html
11,Layout,Use Expanded and Flexible,控制弯曲行为,展开以填充空间,柔性容器中的固定尺寸,Expanded(child: Container()),Container(width: 200) in Row,Medium,
12,Layout,Use SizedBox for spacing,间距一致,间隙尺寸框,仅用于间隔的容器,SizedBox(height: 16),Container(height: 16),Low,
13,Layout,Use LayoutBuilder for responsive,应对约束,用于自适应布局的 LayoutBuilder,响应式固定尺寸,LayoutBuilder(builder: (context constraints) {}),Container(width: 375),Medium,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html
