No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Classic Elegant,Serif + Sans,Playfair Display,Inter,"elegant, luxury, sophisticated, timeless, premium, editorial",奢侈品牌、时尚、水疗、美容、社论、杂志、高端电商,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Playfair+Display:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] }",优雅的标题和简洁的正文之间形成鲜明对比。非常适合豪华/高档。
2,Modern Professional,Sans + Sans,Poppins,Open Sans,"modern, professional, clean, corporate, friendly, approachable",SaaS、企业网站、商业应用程序、初创公司、专业服务,https://fonts.google.com/share?selection.family=Open+Sans:wght@300;400;500;600;700|Poppins:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }",Geometric Poppins 用于标题，人文主义 Open Sans 用于提高可读性。
3,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,"tech, startup, modern, innovative, bold, futuristic",科技公司、初创公司、SaaS、开发者工具、人工智能产品,https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700|Space+Grotesk:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }",Space Grotesk 具有独特的性格，DM Sans 具有很强的可读性。
4,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,"editorial, classic, literary, traditional, refined, bookish",出版、博客、新闻网站、文学杂志、书籍封面,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Libre+Baskerville:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');,"fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] }",全衬线配对带来传统的编辑感觉。
5,Minimal Swiss,Sans + Sans,Inter,Inter,"minimal, clean, swiss, functional, neutral, professional",仪表板、管理面板、文档、企业应用程序、设计系统,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }",具有粗细变化的单一字体系列。极致简单。
6,Playful Creative,Display + Sans,Fredoka,Nunito,"playful, friendly, fun, creative, warm, approachable",儿童应用、教育、游戏、创意工具、娱乐,https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Fredoka', 'sans-serif'], body: ['Nunito', 'sans-serif'] }",圆润、友好的字体非常适合俏皮的用户界面。
7,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,"bold, impactful, strong, dramatic, modern, headlines",营销网站、作品集、代理机构、活动页面、体育,https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');,"fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Bebas Neue 仅适用于大头条新闻。显示字体全部大写。
8,Wellness Calm,Serif + Sans,Lora,Raleway,"calm, wellness, health, relaxing, natural, organic",健康应用、保健、水疗、冥想、瑜伽、有机品牌,https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Raleway:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Raleway:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] }",Lora 的有机曲线与 Raleway 的优雅简约相结合。
9,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,"code, developer, technical, precise, functional, hacker",开发人员工具、文档、代码编辑器、技术博客、CLI 应用程序,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');,"fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }",JetBrains 用于代码，IBM Plex 用于 UI。以开发人员为中心。
10,Retro Vintage,Display + Serif,Abril Fatface,Merriweather,"retro, vintage, nostalgic, dramatic, decorative, bold",复古品牌、啤酒厂、餐厅、创意组合、海报,https://fonts.google.com/share?selection.family=Abril+Fatface|Merriweather:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=Abril+Fatface&family=Merriweather:wght@300;400;700&display=swap');,"fontFamily: { display: ['Abril Fatface', 'serif'], body: ['Merriweather', 'serif'] }",Abril Fatface 仅供英雄头条新闻使用。极具冲击力的复古感觉。
11,Geometric Modern,Sans + Sans,Outfit,Work Sans,"geometric, modern, clean, balanced, contemporary, versatile",通用、投资组合、机构、现代品牌、登陆页面,https://fonts.google.com/share?selection.family=Outfit:wght@300;400;500;600;700|Work+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@300;400;500;600;700&family=Work+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }",两者都是几何图形，但 Outfit 的标题更加独特。
12,Luxury Serif,Serif + Sans,Cormorant,Montserrat,"luxury, high-end, fashion, elegant, refined, premium",时尚品牌、奢侈品电商、珠宝、高端服务,https://fonts.google.com/share?selection.family=Cormorant:wght@400;500;600;700|Montserrat:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant:wght@400;500;600;700&family=Montserrat:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Cormorant', 'serif'], sans: ['Montserrat', 'sans-serif'] }",鸬鹚的优雅与蒙特塞拉特的几何精度。
13,Friendly SaaS,Sans + Sans,Plus Jakarta Sans,Plus Jakarta Sans,"friendly, modern, saas, clean, approachable, professional",SaaS 产品、网络应用程序、仪表板、B2B、生产力工具,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",单一通用字体。国际米兰的现代替代品。
14,News Editorial,Serif + Sans,Newsreader,Roboto,"news, editorial, journalism, trustworthy, readable, informative",新闻网站、博客、杂志、新闻、内容丰富的网站,https://fonts.google.com/share?selection.family=Newsreader:wght@400;500;600;700|Roboto:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Newsreader:wght@400;500;600;700&family=Roboto:wght@300;400;500;700&display=swap');,"fontFamily: { serif: ['Newsreader', 'serif'], sans: ['Roboto', 'sans-serif'] }",专为长篇阅读而设计的新闻阅读器。用于 UI 的 Roboto。
15,Handwritten Charm,Script + Sans,Caveat,Quicksand,"handwritten, personal, friendly, casual, warm, charming",个人博客、邀请函、创意作品集、生活方式品牌,https://fonts.google.com/share?selection.family=Caveat:wght@400;500;600;700|Quicksand:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Caveat:wght@400;500;600;700&family=Quicksand:wght@300;400;500;600;700&display=swap');,"fontFamily: { script: ['Caveat', 'cursive'], sans: ['Quicksand', 'sans-serif'] }",谨慎使用重音符号。流沙为身。
16,Corporate Trust,Sans + Sans,Lexend,Source Sans 3,"corporate, trustworthy, accessible, readable, professional, clean",企业、政府、医疗保健、金融、以无障碍为中心,https://fonts.google.com/share?selection.family=Lexend:wght@300;400;500;600;700|Source+Sans+3:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lexend:wght@300;400;500;600;700&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Lexend', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Lexend 专为提高可读性而设计。极佳的可达性。
17,Brutalist Raw,Mono + Mono,Space Mono,Space Mono,"brutalist, raw, technical, monospace, minimal, stark",野兽派设计、开发者作品集、实验、科技艺术,https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&display=swap');,"fontFamily: { mono: ['Space Mono', 'monospace'] }",全单色，适合原始野兽派美学。重量有限。
18,Fashion Forward,Sans + Sans,Syne,Manrope,"fashion, avant-garde, creative, bold, artistic, edgy",时尚品牌、创意机构、美术馆、设计工作室,https://fonts.google.com/share?selection.family=Manrope:wght@300;400;500;600;700|Syne:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Manrope:wght@300;400;500;600;700&family=Syne:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Syne', 'sans-serif'], body: ['Manrope', 'sans-serif'] }",Syne 独特的头条新闻特征。曼绳以提高可读性。
19,Soft Rounded,Sans + Sans,Varela Round,Nunito Sans,"soft, rounded, friendly, approachable, warm, gentle",儿童产品、宠物应用、友好品牌、健康、软用户界面,https://fonts.google.com/share?selection.family=Nunito+Sans:wght@300;400;500;600;700|Varela+Round,@import url('https://fonts.googleapis.com/css2?family=Nunito+Sans:wght@300;400;500;600;700&family=Varela+Round&display=swap');,"fontFamily: { heading: ['Varela Round', 'sans-serif'], body: ['Nunito Sans', 'sans-serif'] }",既圆润又友善。非常适合软 UI 设计。
20,Premium Sans,Sans + Sans,Satoshi,General Sans,"premium, modern, clean, sophisticated, versatile, balanced",优质品牌、现代机构、SaaS、投资组合、初创公司,https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&display=swap');,"fontFamily: { sans: ['DM Sans', 'sans-serif'] }",注：Fontshare 上的 Satoshi/General Sans。 DM Sans 作为 Google 的替代品。
21,Vietnamese Friendly,Sans + Sans,Be Vietnam Pro,Noto Sans,"vietnamese, international, readable, clean, multilingual, accessible",越南语网站、多语言应用程序、国际产品,https://fonts.google.com/share?selection.family=Be+Vietnam+Pro:wght@300;400;500;600;700|Noto+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Be+Vietnam+Pro:wght@300;400;500;600;700&family=Noto+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Be Vietnam Pro', 'Noto Sans', 'sans-serif'] }",成为越南专业人士，提供出色的越南语支持。诺托作为后备。
22,Japanese Elegant,Serif + Sans,Noto Serif JP,Noto Sans JP,"japanese, elegant, traditional, modern, multilingual, readable",日本景点、日本餐厅、文化景点、动画/漫画,https://fonts.google.com/share?selection.family=Noto+Sans+JP:wght@300;400;500;700|Noto+Serif+JP:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700&family=Noto+Serif+JP:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Noto Serif JP', 'serif'], sans: ['Noto Sans JP', 'sans-serif'] }",Noto 字体出色的日语支持。传统+现代的感觉。
23,Korean Modern,Sans + Sans,Noto Sans KR,Noto Sans KR,"korean, modern, clean, professional, multilingual, readable",韩国网站、韩国美容、韩国流行音乐、韩国企业、多语言,https://fonts.google.com/share?selection.family=Noto+Sans+KR:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+KR:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans KR', 'sans-serif'] }",干净的韩文排版。具有粗细变化的单一字体。
24,Chinese Traditional,Serif + Sans,Noto Serif TC,Noto Sans TC,"chinese, traditional, elegant, cultural, multilingual, readable",繁体中文网站、文化内容、台湾/香港市场,https://fonts.google.com/share?selection.family=Noto+Sans+TC:wght@300;400;500;700|Noto+Serif+TC:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+TC:wght@300;400;500;700&family=Noto+Serif+TC:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Noto Serif TC', 'serif'], sans: ['Noto Sans TC', 'sans-serif'] }",繁体中文字符支持。优雅的搭配。
25,Chinese Simplified,Sans + Sans,Noto Sans SC,Noto Sans SC,"chinese, simplified, modern, professional, multilingual, readable",简体中文网站、中国大陆市场、商业应用,https://fonts.google.com/share?selection.family=Noto+Sans+SC:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+SC:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans SC', 'sans-serif'] }",简体中文支持。干净现代的外观。
26,Arabic Elegant,Serif + Sans,Noto Naskh Arabic,Noto Sans Arabic,"arabic, elegant, traditional, cultural, RTL, readable",阿拉伯语网站、中东市场、伊斯兰内容、双语网站,https://fonts.google.com/share?selection.family=Noto+Naskh+Arabic:wght@400;500;600;700|Noto+Sans+Arabic:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Naskh+Arabic:wght@400;500;600;700&family=Noto+Sans+Arabic:wght@300;400;500;700&display=swap');,"fontFamily: { serif: ['Noto Naskh Arabic', 'serif'], sans: ['Noto Sans Arabic', 'sans-serif'] }",RTL 支持。 Naskh 代表传统阿拉伯语，Sans 代表现代阿拉伯语。
