No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Installation,Add Nuxt UI module,在 Nuxt 项目中安装和配置 Nuxt UI,pnpm add @nuxt/ui 并添加到模块,手动组件导入,modules: ['@nuxt/ui'],import { UButton } from '@nuxt/ui',High,https://ui.nuxt.com/docs/getting-started/installation/nuxt
2,Installation,Import Tailwind and Nuxt UI CSS,main.css 文件中所需的 CSS 导入,@import tailwindcss 和 @import @nuxt/ui,跳过 CSS 导入,"@import ""tailwindcss""; @import ""@nuxt/ui"";",No CSS imports,High,https://ui.nuxt.com/docs/getting-started/installation/nuxt
3,Installation,Wrap app with UApp component,UApp 为 Toast Tooltip 和覆盖层提供全局配置,app.vue 中的 <UApp> 包装器,跳过 UApp 包装器,<UApp><NuxtPage/></UApp>,<NuxtPage/> without wrapper,High,https://ui.nuxt.com/docs/components/app
4,Components,Use U prefix for components,所有 Nuxt UI 组件默认使用 U 前缀,UButton UInput UModal,按钮输入模式,<UButton>Click</UButton>,<Button>Click</Button>,Medium,https://ui.nuxt.com/docs/getting-started/installation/nuxt
5,Components,Use semantic color props,使用语义颜色，例如主要次要错误,颜色=“主要”颜色=“错误”,硬编码颜色,"<UButton color=""primary"">","<UButton class=""bg-green-500"">",Medium,https://ui.nuxt.com/docs/getting-started/theme/design-system
6,Components,Use variant prop for styling,Nuxt UI 提供坚实的轮廓、柔和的微妙幽灵链接变体,变体=“软” 变体=“轮廓”,自定义按钮类,"<UButton variant=""soft"">","<UButton class=""border bg-transparent"">",Medium,https://ui.nuxt.com/docs/components/button
7,Components,Use size prop consistently,组件支持 xs sm md lg xl 尺寸,尺寸=“sm” 尺寸=“lg”,任意尺码等级,"<UButton size=""lg"">","<UButton class=""text-xl px-6"">",Low,https://ui.nuxt.com/docs/components/button
8,Icons,Use icon prop with Iconify format,Nuxt UI 通过 icon 属性支持 Iconify 图标,"icon=""lucide:home"" icon=""heroicons:user""",i-lucide-home 格式,"<UButton icon=""lucide:home"">","<UButton icon=""i-lucide-home"">",Medium,https://ui.nuxt.com/docs/getting-started/integrations/icons/nuxt
9,Icons,Use leadingIcon and trailingIcon,为了清晰起见，使用专用道具放置图标,"leadingIcon=""lucide:plus"" TrailingIcon=""lucide:arrow-right""",手动图标定位,"<UButton leadingIcon=""lucide:plus"">","<UButton><Icon name=""lucide:plus""/>Add</UButton>",Low,https://ui.nuxt.com/docs/components/button
10,Theming,Configure colors in app.config.ts,运行时颜色配置无需重启,app.config.ts 中的 ui.colors.primary,组件中的硬编码颜色,defineAppConfig({ ui: { colors: { primary: 'blue' } } }),"<UButton class=""bg-blue-500"">",High,https://ui.nuxt.com/docs/getting-started/theme/design-system
11,Theming,Use @theme directive for custom colors,使用 Tailwind @theme 在 CSS 中定义设计标记,@主题{--color-brand-500：#xxx},内联颜色定义,@theme { --color-brand-500: #ef4444; },":style=""{ color: '#ef4444' }""",Medium,https://ui.nuxt.com/docs/getting-started/theme/design-system
12,Theming,Extend semantic colors in nuxt.config,在 theme.colors 中注册新颜色，例如 tertiary,ui 配置中的 theme.colors 数组,使用未定义的颜色,"ui: { theme: { colors: ['primary', 'tertiary'] } }","<UButton color=""tertiary""> without config",Medium,https://ui.nuxt.com/docs/getting-started/theme/design-system
13,Forms,Use UForm with schema validation,UForm 支持 Zod Yup Joi Valibot 模式,:schema 带有验证模式的 prop,手动表单验证,"<UForm :schema=""schema"" :state=""state"">",Manual @blur validation,High,https://ui.nuxt.com/docs/components/form
14,Forms,Use UFormField for field wrapper,提供标签错误消息和验证显示,带有 name 属性的 UFormField,手动错误处理,"<UFormField name=""email"" label=""Email"">",<div><label>Email</label><UInput/><span>error</span></div>,Medium,https://ui.nuxt.com/docs/components/form-field
15,Forms,Handle form submit with @submit,UForm 发出带有经过验证的数据的提交事件,UForm 上的 @submit 处理程序,@点击提交按钮,"<UForm @submit=""onSubmit"">","<UButton @click=""onSubmit"">",Medium,https://ui.nuxt.com/docs/components/form
16,Forms,Use validateOn prop for validation timing,控制验证何时触发（失焦更改输入）,"validateOn=""['blur']"" 以提高性能",始终验证输入,"<UForm :validateOn=""['blur', 'change']"">",<UForm> (validates on every keystroke),Low,https://ui.nuxt.com/docs/components/form
17,Overlays,Use v-model:open for overlay control,模态滑动抽屉使用 v-model:open,v-model:打开受控状态,手动显示/隐藏逻辑,"<UModal v-model:open=""isOpen"">","<UModal v-if=""isOpen"">",Medium,https://ui.nuxt.com/docs/components/modal
18,Overlays,Use useOverlay composable for programmatic overlays,以编程方式打开叠加层，无需模板引用,useOverlay().open(MyModal),模板参考和手动控制,"const overlay = useOverlay(); overlay.open(MyModal, { props })",const modal = ref(); modal.value.open(),Medium,https://ui.nuxt.com/docs/components/modal
19,Overlays,Use title and description props,内置标头支持叠加,title=“确认” 描述=“您确定吗？”,手动标题内容,"<UModal title=""Confirm"" description=""Are you sure?"">",<UModal><template #header><h2>确认</h2></template>,Low,https://ui.nuxt.com/docs/components/modal
20,Dashboard,Use UDashboardSidebar for navigation,提供可折叠、可调整大小的侧边栏以及移动支持,UDashboardSidebar 带有页眉默认页脚插槽,自定义侧边栏实现,<UDashboardSidebar><template #标题>...</template></UDashboardSidebar>,"<aside class=""w-64 border-r"">",Medium,https://ui.nuxt.com/docs/components/dashboard-sidebar
21,Dashboard,Use UDashboardGroup for layout,使用侧边栏状态管理包装仪表板组件,UDashboardGroup > UDashboardSidebar + UDashboardPanel,手动布局柔性容器,<UDashboardGroup><UDashboardSidebar/><UDashboardPanel/></UDashboardGroup>,"<div class=""flex""><aside/><main/></div>",Medium,https://ui.nuxt.com/docs/components/dashboard-group
22,Dashboard,Use UDashboardNavbar for top navigation,具有移动菜单支持的响应式导航栏,仪表板布局中的 UDashboardNavbar,自定义导航栏实现,"<UDashboardNavbar :links=""navLinks""/>","<nav class=""border-b"">",Low,https://ui.nuxt.com/docs/components/dashboard-navbar
23,Tables,Use UTable with data and columns props,由具有内置功能的 TanStack Table 提供支持,:data 和 :columns 属性,手动表格标记,"<UTable :data=""users"" :columns=""columns""/>","<table><tr v-for=""user in users"">",High,https://ui.nuxt.com/docs/components/table
24,Tables,Define columns with accessorKey,列定义使用 accessorKey 进行数据绑定,accessorKey：def 列中的“电子邮件”,仅字符串列名称,"{ accessorKey: 'email', header: 'Email' }","['name', 'email']",Medium,https://ui.nuxt.com/docs/components/table
25,Tables,Use cell slot for custom rendering,使用作用域槽自定义单元格内容,#cell-columnName 插槽,覆盖整个表,<template #单元格状态=“{行}”>,Manual column render function,Medium,https://ui.nuxt.com/docs/components/table
