No,Data Type,Keywords,Best Chart Type,Secondary Options,When to Use,When NOT to Use,Data Volume Threshold,Color Guidance,Accessibility Grade,Accessibility Notes,A11y Fallback,Library Recommendation,Interactive Level
1,Trend Over Time,"trend, time-series, line, growth, timeline, progress",Line Chart,"Area Chart, Smooth Area",数据有时间轴；用户需要观察连续一段时间内的上升/下降趋势或变化率,少于 4 个数据点（使用统计卡）；超过 6 个系列（视觉噪声）；不存在时间维度,<1000 pts: SVG; ≥1000 pts: Canvas + downsampling; >10000: aggregate to intervals,主要：#0080FF。多系列：鲜明的色彩+鲜明的线条风格。填充：20% 不透明度,AA,通过线条样式（实线/虚线/点线）来区分系列，而不仅仅是颜色。为色盲用户添加图案叠加。,每个系列的虚线/点线；带有时间戳和值的可切换数据表,"Chart.js, Recharts, ApexCharts",Hover + Zoom
2,Compare Categories,"compare, categories, bar, comparison, ranking",Bar Chart (Horizontal or Vertical),"Column Chart, Grouped Bar",按大小比较离散类别；排名或排序是核心洞察；类别 ≤ 15,类别> 15（使用表格或搜索）；数据具有时间维度（使用线）；显示比例（使用华夫饼/堆叠）,<20 categories: vertical bar; 20–50: horizontal bar; >50: paginated table,每个条：不同的颜色。分组：相同色调家族。始终按值降序排序,AAA,默认情况下，每个条上都有值标签。用于用户重新排序的排序控件。,值标签始终可见；提供 CSV 导出,"Chart.js, Recharts, D3.js",Hover + Sort
3,Part-to-Whole,"part-to-whole, pie, donut, percentage, proportion, share",Pie Chart or Donut,"Stacked Bar, Waffle Chart",≤5 类；一个主导部分与其余部分；强调视觉比例而非精确值,类别 > 5；切片差异 < 5%（视觉上无法区分）；用户需要精确的值；可访问性优先上下文,Max 6 slices; beyond that switch to stacked bar 100%,最多 5-6 种颜色。对比调色板。最大的切片位于 12 点钟方向。始终用 % 标记切片,C,对于色盲用户来说，饼图无法通过 WCAG。切片仅依赖于颜色。避免在 a11y 环境中作为主要图表。,必须提供堆叠条形替代方案 + 百分比数据表作为强制后备,"Chart.js, Recharts, D3.js",Hover + Drill
4,Correlation / Distribution,"correlation, distribution, scatter, relationship, pattern, cluster",Scatter Plot or Bubble Chart,"Heat Map, Matrix",探索两个连续变量之间的关系；识别数据集中的聚类或异常值,变量是分类的（使用分组条）；少于 20 分（模式没有意义）；移动主要环境,<500 pts: SVG; 500–5000: Canvas at 0.6–0.8 opacity; >5000: hexbin or aggregate first,颜色轴：渐变（蓝色→红色）。气泡大小：相对于第三个变量。不透明度：0.6–0.8 以显示密度,B,提供数据表替代。为色盲用户结合颜色+形状区分。,带相关系数注释的数据表；每组形状标记（圆形/方形/三角形）,"D3.js, Plotly, Recharts",Hover + Brush
5,Heatmap / Intensity,"heatmap, heat-map, intensity, density, matrix, calendar",Heat Map or Choropleth,"Grid Heat Map, Bubble Heat",显示二维网格上的强度/密度；基于时间的模式（例如，按小时×天划分的活动）,少于 20 个细胞（使用条）；用户需要读取精确的值；没有模式回退的色盲用户,"Up to 10,000 cells efficiently; beyond that aggregate; calendar heatmap: 365 cells max per SVG",渐变：冷色（蓝色）到热色（红色）。 ±数据的发散尺度。始终包含数字颜色图例,B,适合色盲用户的图案叠加。悬停时的数值。图例必须包含刻度刻度。,悬停时数字叠加；可下载带有行/列标签的网格表,"D3.js, Plotly, ApexCharts",Hover + Zoom
6,Geographic Data,"geographic, map, location, region, geo, spatial, choropleth",Choropleth Map or Bubble Map,Geographic Heat Map,数据具有区域/位置维度；空间分布是用户的核心洞察,区域的大小差异很大，导致视觉比较产生误导（使用栏）；移动主要环境,<1000 regions: SVG; ≥1000: Canvas/WebGL (Deck.gl); global maps: tile-based rendering,每个区域组单色渐变。离散类型的分类颜色。具有清晰刻度中断的图例,B,包括主要区域的文本标签。提供区域之间的键盘导航。,区域文本标签；可按区域名称和值排序的数据表；键盘可导航区域,"D3.js, Mapbox, Leaflet",Pan + Zoom + Drill
7,Funnel / Flow,"funnel, flow, conversion, drop-off, pipeline, stages",Funnel Chart or Sankey,Waterfall (for flows),顺序多阶段过程；显示定义阶段之间的转化率或流失率,阶段不是连续的；值不会单调递减（使用 bar）；少于 3 个阶段,3–8 stages optimal; beyond 8 stages group minor steps into 'Other',阶段：单色渐变（开始→结束）。显示每个阶段之间的转化百分比。突出显示最大跌幅,AA,每个阶段的显式转换百分比为文本。舞台标签始终可见。线性列表视图作为后备。,提供线性列表视图，包含阶段名称+计数+下降%；键盘遍历,"D3.js, Recharts, Custom SVG",Hover + Drill
8,Performance vs Target,"performance, target, kpi, gauge, goal, threshold, progress",Gauge Chart or Bullet Chart,"Dial, Thermometer",根据定义的目标或阈值衡量的单一 KPI；仪表板摘要上下文,不存在目标或基准；一次比较多个 KPI（使用子弹图网格）,Single metric per gauge; for 3+ KPIs use bullet chart grid layout,性能：红→黄→绿渐变。目标：标记线。阈值区域明显区分,AA,始终将数值 + 目标百分比显示为图表旁边的文本。切勿仅依赖颜色位置。,显示为可见文本的数值 + 目标百分比； ARIA 实时更新区域,"D3.js, ApexCharts, Custom SVG",Hover
9,Time-Series Forecast,"forecast, prediction, confidence, band, projection, estimate",Line with Confidence Band,Ribbon Chart,历史数据+模型预测；向非技术利益相关者传达不确定性范围,无历史基线；预测置信度太低而无用；观众不具备数据素养,Keep historical window to 30–90 days for readability; forecast horizon ≤ 30% of visible x-axis range,实际：实线#0080FF。预测：虚线#FF9500。置信带：15% 不透明度填充相同色调,AA,在仅实际视图和预测视图之间切换。图例必须区分颜色之外的线条（实线与虚线）。,独立切换实际/预测；图例标签必须包含线条样式描述,"Chart.js, ApexCharts, Plotly",Hover + Toggle
10,Anomaly Detection,"anomaly, outlier, spike, alert, detection, monitoring, deviation",Line Chart with Highlights,Scatter with Alert,监控时间序列中的异常值；提醒用户操作数据出现意外峰值或下降,异常是预定义的类别（使用带突出显示的栏）；没有暂停控制的实时上下文,"Stream at ≤60fps with Canvas; batch: up to 10,000 pts; mark anomalies as a separate data layer",正常：#0080FF 实线。异常标记：#FF0000 圆圈 + 填充。警报带：#FFF3CD 背景区,AA,对异常点使用形状标记（不仅仅是颜色）。为每个异常事件添加文本注释。,每个异常的文本警报注释；图表旁边的异常摘要列表面板,"D3.js, Plotly, ApexCharts",Hover + Alert
