No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Navigation,Smooth Scroll,Web,锚链接应平滑滚动到目标部分,在 html 元素上使用 scroll-behavior: smooth,直接跳转，无需过渡,html { scroll-behavior: smooth; },<a href='#section'> without CSS,High
2,Navigation,Sticky Navigation,Web,固定导航不应遮挡内容,将 padding-top 添加到 body 等于导航高度,让导航重叠第一部分内容,pt-20 (if nav is h-20),No padding compensation,Medium
3,Navigation,Active State,All,当前页面/部分应以视觉方式指示,用颜色/下划线突出显示激活状态的导航项项,当前位置没有视觉反馈,text-primary border-b-2,All links same style,Medium
4,Navigation,Back Button,Mobile,用户期望按预期恢复工作,正确保存导航历史记录,破坏浏览器/应用程序后退按钮行为,history.pushState(),location.replace(),High
5,Navigation,Deep Linking,All,URL 应反映共享的当前状态,更新状态/视图更改的 URL,动态内容的静态 URL,Use query params or hash,Single URL for all states,Medium
6,Navigation,Breadcrumbs,Web,显示用户在站点层次结构中的位置,用于深度超过 3 层的站点,用于扁平的单层站点,Home > Category > Product,Only on deep nested pages,Low
7,Animation,Excessive Motion,All,太多的动画会导致分心和晕动症,每个视图最多动画 1-2 个关键元素,为所有移动的东西制作动画,Single hero animation,animate-bounce on 5+ elements,High
8,Animation,Duration Timing,All,动画应该响应灵敏而不是迟缓,使用 150-300 毫秒进行微交互,对 UI 使用超过 500 毫秒的动画,transition-all duration-200,duration-1000,Medium
9,Animation,Reduced Motion,All,尊重用户的运动偏好,检查减弱动画偏好媒体查询,忽略辅助功能运动设置,@media (prefers-reduced-motion: reduce),No motion query check,High
10,Animation,Loading States,All,在异步操作期间显示反馈,使用骨架屏幕或旋转器,让 UI 冻结且没有反馈,animate-pulse skeleton,Blank screen while loading,High
11,Animation,Hover vs Tap,All,悬停效果在触摸设备上不起作用,使用点击/轻触进行主要交互,仅依靠悬停来执行重要操作,onClick handler,onMouseEnter only,High
12,Animation,Continuous Animation,All,无限的动画会分散注意力,仅用于加载指示器,用于装饰元素,animate-spin on loader,animate-bounce on icons,Medium
13,Animation,Transform Performance,Web,某些 CSS 属性会触发昂贵的重绘,使用动画的变换和不透明度,动画宽度/高度/顶部/左侧属性,transform: translateY(),top: 10px animation,Medium
14,Animation,Easing Functions,All,线性运动感觉像机器人,使用 ease-out 进入，使用 ease-in 退出,使用线性进行 UI 过渡,ease-out,linear,Low
15,Layout,Z-Index Management,Web,堆叠上下文冲突导致元素隐藏,定义 z 索引比例系统 (10 20 30 50),使用任意大的 z-index 值,z-10 z-20 z-50,z-[9999],High
16,Layout,Overflow Hidden,Web,隐藏的溢出可以剪辑重要内容,测试容器内的所有内容,盲目应用溢出隐藏,overflow-auto with scroll,overflow-hidden truncating content,Medium
17,Layout,Fixed Positioning,Web,固定元素可能重叠或无障碍支持差 / 体验不友好,考虑安全区域和其他固定元素,不小心堆叠多个固定元素,Fixed nav + fixed bottom with gap,Multiple overlapping fixed elements,Medium
18,Layout,Stacking Context,Web,新的堆叠上下文重置 z-index,了解是什么创建了新的堆叠上下文,期望 z-index 能够跨上下文工作,Parent with z-index isolates children,z-index: 9999 not working,Medium
19,Layout,Content Jumping,Web,内容加载时的布局变化令人不舒服,为异步内容预留空间,让图像/内容推动布局,aspect-ratio or fixed height,No dimensions on images,High
20,Layout,Viewport Units,Web,100vh 在移动浏览器上可能会出现问题,使用 dvh 或考虑移动端浏览器工具栏遮挡的影响,对全屏移动布局使用 100vh,min-h-dvh or min-h-screen,h-screen on mobile,Medium
21,Layout,Container Width,Web,内容太宽难以阅读,限制文本内容的最大宽度（65-75ch）,让文本跨越整个视口宽度,max-w-prose or max-w-3xl,Full width paragraphs,Medium
22,Touch,Touch Target Size,Mobile,小按钮很难准确点击,最小 44x44px 触摸目标,微小的可点击区域,min-h-[44px] min-w-[44px],w-6 h-6 buttons,High
23,Touch,Touch Spacing,Mobile,相邻触摸目标需要足够的间距,触摸目标之间的最小间隙为 8px,紧密包装的可点击元素,gap-2 between buttons,gap-0 or gap-1,Medium
24,Touch,Gesture Conflicts,Mobile,自定义手势可能与系统冲突,避免在主要内容上水平滑动,覆盖系统手势,Vertical scroll primary,Horizontal swipe carousel only,Medium
25,Touch,Tap Delay,Mobile,300ms 的点击延迟感觉滞后,使用触摸操作 CSS 或快速点击,默认移动点击处理,touch-action: manipulation,No touch optimization,Medium
26,Touch,Pull to Refresh,Mobile,意外刷新令人沮丧,不需要的地方禁用,默认情况下在所有地方启用,overscroll-behavior: contain,Default overscroll,Low
27,Touch,Haptic Feedback,Mobile,触觉反馈改善交互感觉,用于确认和重要行动,过度使用振动反馈,navigator.vibrate(10),Vibrate on every tap,Low
28,Interaction,Focus States,All,键盘用户需要可见的焦点指示器,在交互元素上使用可见的焦点环,移除焦点轮廓而不更换,focus:ring-2 focus:ring-blue-500,outline-none without alternative,High
29,Interaction,Hover States,Web,交互元素的视觉反馈,更改光标并添加微妙的视觉变化,可点击元素没有悬停反馈,hover:bg-gray-100 cursor-pointer,No hover style,Medium
30,Interaction,Active States,All,按下/点击时显示即时反馈,添加按下/活动状态视觉变化,交互过程中无反馈,active:scale-95,No active state,Medium
