No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use standalone components,角度 17+ 默认；不需要 NgModule,所有新代码的独立组件,用于新项目的基于 NgModule 的组件,@Component({ standalone: true imports: [CommonModule] }),@NgModule({ declarations: [MyComp] }),High,https://angular.dev/guide/components/importing
2,Components,Use signals for state,信号是 Angular 的细粒度响应性响应式原语,类属性上的组件状态信号,没有信号的可变类属性,count = signal(0); increment() { this.count.update(v => v + 1) },count = 0; increment() { this.count++ },High,https://angular.dev/guide/signals
3,Components,Use @if/@for/@switch control flow,内置控制流语法取代了 *ngIf/*ngFor 指令,模板中的 @if 和 @for,*ngIf 和 *ngFor 结构指令,@if (isLoggedIn) { <Dashboard /> } @else { <Login /> },"<div *ngIf=""isLoggedIn""><Dashboard /></div>",High,https://angular.dev/guide/templates/control-flow
4,Components,Use input() and output() signals,基于信号的输入/输出取代@Input()/@Output()装饰器,组件 API 的 input()和 output(),@Input() 和 @Output() 装饰器,name = input<string>(); clicked = output<void>(),@Input() name: string; @Output() clicked = new EventEmitter(),High,https://angular.dev/guide/components/inputs
5,Components,Use content projection,ng-content 用于灵活的组件组合,ng-content 与 select 命名插槽,模板僵化，无法定制,"<ng-content select=""[header]"" /> <ng-content />","<div class=""header"">{{ title }}</div>",Medium,https://angular.dev/guide/components/content-projection
6,Components,Keep components small,单一职责；组件应该做一件事,模板超过 50 行时提取子组件,处理多个问题的整体组件,<UserAvatar /> <UserDetails /> <UserActions />,One 300-line component template,Medium,https://angular.dev/guide/components
7,Components,Use OnPush change detection,仅通过检查输入更改或信号更新来减少重新渲染,所有组件的 OnPush,默认变更检测策略,changeDetection: ChangeDetectionStrategy.OnPush,changeDetection: ChangeDetectionStrategy.Default,High,https://angular.dev/guide/components/lifecycle
8,Components,Avoid direct DOM manipulation,谨慎使用渲染器或 ElementRef；更喜欢模板绑定,模板绑定和 Angular 指令,直接 document.querySelector 或 innerHTML,"[class.active]=""isActive""",this.el.nativeElement.classList.add('active'),High,https://angular.dev/guide/components/host-elements
9,Routing,Lazy load feature routes,按需加载路由块以减少初始捆绑,loadComponent() 用于所有功能路由,应用程序配置中的预加载路由,{ path: 'admin' loadComponent: () => import('./admin/admin.component') },{ path: 'admin' component: AdminComponent },High,https://angular.dev/guide/routing/lazy-loading
10,Routing,Use route guards with functional API,使用 canActivate/canMatch 功能防护保护路由,返回布尔值或 UrlTree 的功能守卫,具有 CanActivate 接口的基于类的防护,canActivate: [() => inject(AuthService).isLoggedIn()],canActivate: [AuthGuard],High,https://angular.dev/guide/routing/common-router-tasks#preventing-unauthorized-access
11,Routing,Use route resolvers for data,使用 resolve 在路由激活之前预取数据,路线数据的 ResolveFn,在 ngOnInit 中获取数据导致空状态闪现,resolve: { user: () => inject(UserService).getUser() },Fetch in ngOnInit with loading state flickering,Medium,https://angular.dev/guide/routing/common-router-tasks#resolve
12,Routing,Type route params with inject,将 inject(ActivatedRoute)与信号或 toSignal 一起使用,通过 ActivatedRoute 输入路由参数,无类型的 route.snapshot.params 字符串访问,const id = toSignal(route.paramMap.pipe(map(p => p.get('id')))),const id = this.route.snapshot.params['id'],Medium,https://angular.dev/api/router/ActivatedRoute
13,Routing,Use nested routes for layouts,使用路由器出口嵌套组成共享布局,具有共享布局组件的嵌套路由,跨路线复制布局代码,{ path: 'app' component: ShellComponent children: [...] },Duplicate header/sidebar in each route component,Medium,https://angular.dev/guide/routing/router-tutorial-toh#child-route-configuration
14,Routing,Configure preloading strategies,初始加载后在后台预加载惰性模块,PreloadAllModules 或自定义策略,无预加载导致导航延迟,provideRouter(routes withPreloading(PreloadAllModules)),provideRouter(routes),Low,https://angular.dev/api/router/PreloadAllModules
15,State,Use signals for local state,信号提供同步响应式状态，无需 RxJS 开销,signal() 用于组件本地响应式状态,简单本地状态的 BehaviorSubject,const items = signal<Item[]>([]); addItem(i: Item) { this.items.update(arr => [...arr i]) },items$ = new BehaviorSubject<Item[]>([]),High,https://angular.dev/guide/signals
16,State,Use computed() for derived state,延迟评估派生值，这些值会在依赖项更改时更新,Computed() 用于从其他信号导出的值,重复状态或手动同步,readonly total = computed(() => this.items().reduce((s i) => s + i.price 0)),this.total = this.items.reduce(...) //手动调用,High,https://angular.dev/guide/signals#computed-signals
17,State,Use effect() carefully,当信号改变时，效果会产生副作用；避免过度使用,effect() 用于日志记录或本地存储同步等副作用,effect() 用于导出状态（使用计算代替）,effect(() => localStorage.setItem('cart' JSON.stringify(this.cart()))),effect(() => { this.total.set(this.items().length) }),Medium,https://angular.dev/guide/signals#effects
18,State,Use NgRx Signal Store for complex state,NgRx Signal Store 是 Angular 的现代轻量级状态管理,@ngrx/signals SignalStore 用于功能状态,用于简单状态的完整 NgRx Reducer/动作/效果样板,const Store = signalStore(withState({ count: 0 }) withMethods(s => ({ increment: () => patchState(s { count: s.count() + 1 }) }))),createReducer(on(increment state => ({ ...state count: state.count + 1 }))),Medium,https://ngrx.io/guide/signals
