No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Views,Use struct for views,SwiftUI 视图是值类型,结构 MyView：视图,类 MyView：视图,struct ContentView: View { var body: some View },class ContentView: View,High,https://developer.apple.com/documentation/swiftui/view
2,Views,Keep views small and focused,每个视图都有单一责任,提取复杂布局的子视图,大型整体视图,Extract HeaderView FooterView,500+ line View struct,Medium,
3,Views,Use body computed property,body 返回视图层次结构,var body: 一些视图 { },func body() -> 一些视图,"var body: some View { Text(""Hello"") }",func body() -> Text,High,
4,Views,Prefer composition over inheritance,使用 ViewBuilder 构建视图,合并较小的视图,继承层次结构,VStack { Header() Content() },class SpecialView extends BaseView,Medium,
5,State,Use @State for local state,视图拥有的简单值类型,@State 用于视图局部原语,@State 用于共享数据,@State private var count = 0,@State var sharedData: Model,High,https://developer.apple.com/documentation/swiftui/state
6,State,Use @Binding for two-way data,将可变状态传递给子视图,@Binding 用于子输入,父数据的子级中的@State,@Binding var isOn: Bool,$isOn to pass binding,Medium,https://developer.apple.com/documentation/swiftui/binding
7,State,Use @StateObject for reference types,视图拥有的 ObservableObject,@StateObject 用于视图创建的对象,@ObservedObject 用于拥有的对象,@StateObject private var vm = ViewModel(),@ObservedObject var vm = ViewModel(),High,https://developer.apple.com/documentation/swiftui/stateobject
8,State,Use @ObservedObject for injected objects,从父级传递的引用类型,@ObservedObject 用于注入依赖项,@StateObject 用于注入对象,@ObservedObject var vm: ViewModel,@StateObject var vm: ViewModel (injected),High,https://developer.apple.com/documentation/swiftui/observedobject
9,State,Use @EnvironmentObject for shared state,应用程序范围的状态注入,@EnvironmentObject 用于全局状态,通过视图进行属性深层传递 (Prop Drilling),@EnvironmentObject var settings: Settings,Pass settings through 5 views,Medium,https://developer.apple.com/documentation/swiftui/environmentobject
10,State,Use @Published in ObservableObject,自动发布属性更改,@Published 观察到的属性,手动 objectWillChange 调用,@Published var items: [Item] = [],var items: [Item] { didSet { objectWillChange.send() } },Medium,
11,Observable,Use @Observable macro (iOS 17+),没有组合的现代观察,视图模型的 @Observable 类,新项目的 ObservableObject,@Observable class ViewModel { },class ViewModel: ObservableObject,Medium,https://developer.apple.com/documentation/observation
12,Observable,Use @Bindable for @Observable,从 @Observable 创建绑定,@Bindable var vm 用于绑定,@Binding 与 @Observable,@Bindable var viewModel,$viewModel.name with @Observable,Medium,
13,Layout,Use VStack HStack ZStack,标准的基于堆栈的布局,用于线性排列的堆栈,用于简单布局的 GeometryReader,VStack { Text() Image() },GeometryReader for vertical list,Medium,https://developer.apple.com/documentation/swiftui/vstack
14,Layout,Use LazyVStack LazyHStack for lists,延迟加载以提高性能,长列表的惰性堆栈,常规堆叠可容纳 100 多个物品,LazyVStack { ForEach(items) },VStack { ForEach(largeArray) },High,https://developer.apple.com/documentation/swiftui/lazyvstack
15,Layout,Use GeometryReader sparingly,仅当需要调整尺寸时,用于响应式布局的 GeometryReader,无处不在的几何阅读器,GeometryReader for aspect ratio,GeometryReader wrapping everything,Medium,
16,Layout,Use spacing and padding consistently,整个应用程序的间距一致,设计系统间距值,间距的神奇数字,.padding(16) or .padding(),".padding(13), .padding(17)",Low,
17,Layout,Use frame modifiers correctly,需要时设置明确的尺寸,.frame(最大宽度: .infinity),响应式内容的固定大小,.frame(maxWidth: .infinity),.frame(width: 375),Medium,
18,Modifiers,Order modifiers correctly,修改器顺序影响渲染,填充前的背景以实现完全覆盖,修改器顺序错误,.padding().background(Color.red),.background(Color.red).padding(),High,
19,Modifiers,Create custom ViewModifiers,可重复使用的修饰符组合,ViewModifier 用于重复样式,重复的修饰符链,struct CardStyle: ViewModifier,.shadow().cornerRadius() everywhere,Medium,https://developer.apple.com/documentation/swiftui/viewmodifier
20,Modifiers,Use conditional modifiers carefully,避免更改视图标识,if-else 具有相同的视图类型,更改视图标识的条件,Text(title).foregroundColor(isActive ? .blue : .gray),if isActive { Text().bold() } else { Text() },Medium,
21,Navigation,Use NavigationStack (iOS 16+),具有类型安全路径的现代导航,带有 navigationDestination 的 NavigationStack,新项目的导航视图,NavigationStack { },NavigationView { } (deprecated),Medium,https://developer.apple.com/documentation/swiftui/navigationstack
22,Navigation,Use navigationDestination,类型安全的导航目的地,.navigationDestination（用于：）,导航链接（目的地：）,.navigationDestination(for: Item.self),NavigationLink(destination: DetailView()),Medium,
23,Navigation,Use @Environment for dismiss,程序化导航解雇,@Environment(\.dismiss) var 解雇,演示模式（已弃用）,@Environment(\.dismiss) var dismiss,@Environment(\.presentationMode),Low,
24,Lists,Use List for scrollable content,内置滚动和样式,标准可滚动内容列表,ScrollView + VStack 用于简单列表,List { ForEach(items) { } },ScrollView { VStack { ForEach } },Low,https://developer.apple.com/documentation/swiftui/list
25,Lists,Provide stable identifiers,使用可识别或明确的 ID,可识别的协议或 id 参数,索引作为标识符,ForEach(items) where Item: Identifiable,"ForEach(items.indices, id: \.self)",High,
26,Lists,Use onDelete and onMove,标准列表编辑,onDelete 滑动删除,自定义删除实现,.onDelete(perform: delete),.onTapGesture for delete,Low,
27,Forms,Use Form for settings,分组输入控件,设置屏幕的表单,表单的手动分组,Form { Section { Toggle() } },VStack { Toggle() },Low,https://developer.apple.com/documentation/swiftui/form
28,Forms,Use @FocusState for keyboard,管理键盘焦点,@FocusState 用于文本字段焦点,手动急救人员处理,@FocusState private var isFocused: Bool,UIKit first responder,Medium,https://developer.apple.com/documentation/swiftui/focusstate
29,Forms,Validate input properly,显示验证反馈,实时验证反馈,不验证就提交,TextField with validation state,TextField without error handling,Medium,
30,Async,Use .task for async work,视图消失时自动取消,.task 用于异步查看生命周期,onAppear 与任务,.task { await loadData() },onAppear { Task { await loadData() } },Medium,https://developer.apple.com/documentation/swiftui/view/task(priority:_:)
31,Async,Handle loading states,显示异步操作期间的进度,加载期间的进度视图,加载期间为空视图,if isLoading { ProgressView() },No loading indicator,Medium,
32,Async,Use @MainActor for UI updates,确保主线程上的 UI 更新,视图模型上的@MainActor,手动 DispatchQueue.main,@MainActor class ViewModel,DispatchQueue.main.async,Medium,
33,Animation,Use withAnimation,动画状态变化,withAnimation 用于状态转换,没有状态变化的动画,withAnimation { isExpanded.toggle() },isExpanded.toggle(),Low,https://developer.apple.com/documentation/swiftui/withanimation(_:_:)
34,Animation,Use .animation modifier,将动画应用于视图,.animation(.spring()) 视图,手动动画计时,.animation(.easeInOut),CABasicAnimation equivalent,Low,
35,Animation,Respect reduced motion,检查辅助功能设置,检查可访问性 ReduceMotion,忽略运动偏好,@Environment(\.accessibilityReduceMotion),Always animate regardless,High,
36,Preview,Use #Preview macro (Xcode 15+),现代预览语法,#Preview 用于视图预览,PreviewProvider 协议,#预览 { ContentView() },struct ContentView_Previews: PreviewProvider,Low,
37,Preview,Create multiple previews,测试不同的状态和设备,多个州预览,仅单个预览,#预览（“浅色”）{ } #Preview（“深色”）{ },Single preview configuration,Low,
38,Preview,Use preview data,专用预览模拟数据,静态预览数据,预览中的生产数据,Item.preview for preview,Fetch real data in preview,Low,
39,Performance,Avoid expensive body computations,身体应该能够快速计算,在视图模型中预计算,体内计算量大,vm.computedValue in body,Complex calculation in body,High,
40,Performance,Use Equatable views,跳过不必要的视图更新,对于复杂视图来说是等同的,所有视图的默认平等,struct MyView: View Equatable,No Equatable conformance,Medium,
41,Performance,Profile with Instruments,优化前测量,使用 SwiftUI 仪器,猜测性能问题,Profile with Instruments,Optimize without measuring,Medium,
42,Accessibility,Add accessibility labels,描述 UI 元素,.accessibilityLabel 上下文,缺少标签,".accessibilityLabel(""Close button"")",Button without label,High,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)-1d7jv
43,Accessibility,Support Dynamic Type,尊重文字大小偏好,可缩放的字体和布局,固定字体大小,.font(.body) with Dynamic Type,.font(.system(size: 16)),High,
44,Accessibility,Use semantic views,适当的可访问性特征,正确的可访问性特征,语义错误,Button for actions Image for display,Image that acts like button,Medium,
45,Testing,Use ViewInspector for testing,第三方视图测试,用于单元测试的 ViewInspector,仅 UI 测试,ViewInspector assertions,Only XCUITest,Medium,
46,Testing,Test view models,单元测试业务逻辑,用于视图模型的 XCTest,跳过视图模型测试,Test ViewModel methods,No unit tests,Medium,
47,Testing,Use preview as visual test,预览捕捉视觉回归,多种预览配置,没有目视验证,Preview different states,Single preview only,Low,
48,Architecture,Use MVVM pattern,独立的视图和逻辑,ViewModel 用于业务逻辑,视图中的逻辑,ObservableObject ViewModel,@State for complex logic,Medium,
49,Architecture,Keep views dumb,视图显示视图模型状态,View 从 ViewModel 读取,View 中的业务逻辑,view.items from vm.items,Complex filtering in View,Medium,
50,Architecture,Use dependency injection,注入依赖项进行测试,使用依赖项进行初始化,硬编码的依赖关系,init(service: ServiceProtocol),let service = RealService(),Medium,
