No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composition,Use Composition API for new projects,Composition API 提供更好的 TypeScript 支持和逻辑重用,组件的<脚本设置>,新项目的选项 API,<script setup>,export default { data() },Medium,https://vuejs.org/guide/extras/composition-api-faq.html
2,Composition,Use script setup syntax,具有自动导出功能的更清晰的语法,<脚本设置>与 defineProps,手动 setup()函数,<script setup>,<script> setup() { return {} },Low,https://vuejs.org/api/sfc-script-setup.html
3,Reactivity,Use ref for primitives,ref() 用于需要响应性的原始值,ref() 用于字符串数字布尔值,对于原语，reactive(),const count = ref(0),const count = reactive(0),Medium,https://vuejs.org/guide/essentials/reactivity-fundamentals.html
4,Reactivity,Use reactive for objects,复杂对象和数组的 reactive(),对于具有多个属性的对象，reactive(),ref() 用于复杂对象,const state = reactive({ user: null }),const state = ref({ user: null }),Medium,
5,Reactivity,Access ref values with .value,记住模板中脚本解包中的.value,在脚本中使用 .value,忘记脚本中的 .value,count.value++,count++ (in script),High,
6,Reactivity,Use computed for derived state,计算属性缓存并自动更新,派生值的计算（）,导出值的方法,const doubled = computed(() => count.value * 2),const doubled = () => count.value * 2,Medium,https://vuejs.org/guide/essentials/computed.html
7,Reactivity,Use shallowRef for large objects,避免深度响应式以提高性能,大型数据结构的 shallowRef,大型嵌套对象的 ref,const bigData = shallowRef(largeObject),const bigData = ref(largeObject),Medium,https://vuejs.org/api/reactivity-advanced.html#shallowref
8,Watchers,Use watchEffect for simple cases,自动跟踪依赖关系,watchEffect 用于简单的响应式效果,不需要时使用明确的 deps 进行监视,watchEffect(() => console.log(count.value)),"watch(count, (val) => console.log(val))",Low,https://vuejs.org/guide/essentials/watchers.html
9,Watchers,Use watch for specific sources,明确控制观看内容,观看特定参考,watchEffect 用于复杂的条件逻辑,"watch(userId, fetchUser)",watchEffect with conditionals,Medium,
10,Watchers,Clean up side effects,观察者中返回清理函数,在 watchEffect 中返回清理,保持订阅开放,watchEffect((onCleanup) => { onCleanup(unsub) }),watchEffect without cleanup,High,
11,Props,Define props with defineProps,类型安全的 prop 定义,使用 TypeScript 定义 Props,没有类型的道具,defineProps<{ msg: string }>(),defineProps(['msg']),Medium,https://vuejs.org/guide/typescript/composition-api.html#typing-component-props
12,Props,Use withDefaults for default values,提供可选道具的默认值,withDefaults 和 DefineProps,解构中的默认值,"withDefaults(defineProps<Props>(), { count: 0 })",const { count = 0 } = defineProps(),Medium,
13,Props,Avoid mutating props,道具应该是只读的,向父级发送事件以进行更改,直接支柱突变,"emit('update:modelValue', newVal)",props.modelValue = newVal,High,
14,Emits,Define emits with defineEmits,类型安全的事件发射,使用类型定义 Emits,没有定义就发出,defineEmits<{ change: [id: number] }>(),"emit('change', id) without define",Medium,https://vuejs.org/guide/typescript/composition-api.html#typing-component-emits
15,Emits,Use v-model for two-way binding,简化的父子数据流,带有 modelValue 属性的 v-model,:value + @手动输入,"<Child v-model=""value""/>","<Child :value=""value"" @input=""value = $event""/>",Low,https://vuejs.org/guide/components/v-model.html
