No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use functional components,基于挂钩的组件是标准配置,带钩子的功能组件,类组件,const App = () => { },class App extends Component,Medium,https://reactnative.dev/docs/intro-react
2,Components,Keep components small,单一责任原则,分成更小的组件,大型整体元件,<Header /><Content /><Footer />,500+ line component,Medium,
3,Components,Use TypeScript,props 和 state 的类型安全,新项目的 TypeScript,没有类型的 JavaScript,const Button: FC<Props> = () => { },const Button = (props) => { },Medium,
4,Components,Colocate component files,将相关文件放在一起,包含样式的组件文件夹,扁平结构,components/Button/index.tsx styles.ts,components/Button.tsx styles/button.ts,Low,
5,Styling,Use StyleSheet.create,优化样式对象,所有样式的样式表,内联样式对象,StyleSheet.create({ container: {} }),style={{ margin: 10 }},High,https://reactnative.dev/docs/stylesheet
6,Styling,Avoid inline styles,防止对象重新创建,样式表中的样式,渲染中的内联样式对象,style={styles.container},"style={{ margin: 10, padding: 5 }}",Medium,
7,Styling,Use flexbox for layout,React Native 使用 Flexbox,flexDirection 对齐项目 justifyContent,无处不在的绝对定位,flexDirection: 'row',position: 'absolute' everywhere,Medium,https://reactnative.dev/docs/flexbox
8,Styling,Handle platform differences,特定于平台的样式,Platform.select 或 .ios/.android 文件,两个平台的风格相同,"Platform.select({ ios: {}, android: {} })",Hardcoded iOS values,Medium,https://reactnative.dev/docs/platform-specific-code
9,Styling,Use responsive dimensions,针对不同屏幕进行缩放,尺寸或 useWindowDimensions,固定像素值,useWindowDimensions(),width: 375,Medium,
10,Navigation,Use React Navigation,标准导航库,React Navigation 用于路由,手动导航管理,createStackNavigator(),Custom navigation state,Medium,https://reactnavigation.org/
11,Navigation,Type navigation params,类型安全的导航,类型化导航道具,无类型导航,"navigation.navigate<RootStackParamList>('Home', { id })","navigation.navigate('Home', { id })",Medium,
12,Navigation,Use deep linking,支持基于 URL 的导航,配置链接属性,没有深层链接支持,linking: { prefixes: [] },No linking configuration,Medium,https://reactnavigation.org/docs/deep-linking/
13,Navigation,Handle back button,Android 后退按钮处理,useFocusEffect 与 BackHandler,忽略后退按钮,BackHandler.addEventListener,No back handler,High,
