No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use file-based routing,通过在页面目录中添加文件来创建路由,带有 index.vue 的 pages/目录,手动路由配置,pages/dashboard/index.vue,Custom router setup,Medium,https://nuxt.com/docs/getting-started/routing
2,Routing,Use dynamic route parameters,使用括号语法创建动态路由,[id].vue 用于动态参数,动态内容的硬编码路由,pages/posts/[id].vue,pages/posts/post1.vue,Medium,https://nuxt.com/docs/getting-started/routing
3,Routing,Use catch-all routes,使用 [...slug] 处理多个路径段,[...slug].vue 包罗万象,多个嵌套动态路由,pages/[...slug].vue,pages/[a]/[b]/[c].vue,Low,https://nuxt.com/docs/getting-started/routing
4,Routing,Define page metadata with definePageMeta,设置页面级配置和中间件,布局中间件标题的 definePageMeta,手动路由元配置,"definePageMeta({ layout: 'admin', middleware: 'auth' })",router.beforeEach for page config,High,https://nuxt.com/docs/api/utils/define-page-meta
5,Routing,Use validate for route params,渲染前验证动态路由参数,验证 definePageMeta 中的函数,设置中手动验证,definePageMeta({ validate: (route) => /^\d+$/.test(route.params.id) }),if (!valid) navigateTo('/404'),Medium,https://nuxt.com/docs/api/utils/define-page-meta
6,Rendering,Use SSR by default,默认启用服务器端渲染,保持 ssr: true (默认),不必要地禁用 SSR,ssr: true (default),ssr: false for all pages,High,https://nuxt.com/docs/guide/concepts/rendering
7,Rendering,Use .client suffix for client-only components,将组件标记为仅在客户端上呈现,组件名.client.vue 后缀,v-if 与 process.client 检查,Comments.client.vue,"<div v-if=""process.client""><Comments/></div>",Medium,https://nuxt.com/docs/guide/directory-structure/components
8,Rendering,Use .server suffix for server-only components,将组件标记为仅在服务器上呈现,组件名.server.vue 后缀,手动服务器检查,HeavyMarkdown.server.vue,"v-if=""process.server""",Low,https://nuxt.com/docs/guide/directory-structure/components
9,DataFetching,Use useFetch for simple data fetching,用于 URL 获取的 useAsyncData 包装,useFetch 进行 API 调用,onMounted 中的 $fetch,const { data } = await useFetch('/api/posts'),onMounted(async () => { data.value = await $fetch('/api/posts') }),High,https://nuxt.com/docs/api/composables/use-fetch
10,DataFetching,Use useAsyncData for complex fetching,对异步数据的细粒度控制,useAsyncData 用于 CMS 或自定义获取,useFetch 用于非 URL 数据源,"const { data } = await useAsyncData('posts', () => cms.getPosts())",const { data } = await useFetch(() => cms.getPosts()),Medium,https://nuxt.com/docs/api/composables/use-async-data
11,DataFetching,Use $fetch for non-reactive requests,$fetch for event handlers and non-component code,$fetch in event handlers or server routes,在点击处理程序中使用 Fetch,"async function submit() { await $fetch('/api/submit', { method: 'POST' }) }",async function submit() { await useFetch('/api/submit') },High,https://nuxt.com/docs/api/utils/dollarfetch
12,DataFetching,Use lazy option for non-blocking fetch,推迟数据获取以获得更好的初始加载,惰性：对于折叠内容以下为 true,阻止非关键数据的获取,"useFetch('/api/comments', { lazy: true })",await useFetch('/api/comments') for footer,Medium,https://nuxt.com/docs/api/composables/use-fetch
13,DataFetching,Use server option to control fetch location,选择获取数据的位置,服务器：仅客户端数据为 false,服务器获取特定于用户的客户端数据,"useFetch('/api/user-preferences', { server: false })",useFetch for localStorage-dependent data,Medium,https://nuxt.com/docs/api/composables/use-fetch
14,DataFetching,Use pick to reduce payload size,仅从响应中选择所需的字段,选择大量响应的选项,当需要很少的字段时获取整个对象,"useFetch('/api/user', { pick: ['id', 'name'] })",useFetch('/api/user') then destructure,Low,https://nuxt.com/docs/api/composables/use-fetch
15,DataFetching,Use transform for data manipulation,在存储到状态之前转换数据,数据整形的转换选项,获取后手动转换,"useFetch('/api/posts', { transform: (posts) => posts.map(p => p.title) })",const titles = data.value.map(p => p.title),Low,https://nuxt.com/docs/api/composables/use-fetch
16,DataFetching,Handle loading and error states,始终处理挂起和错误状态,检查状态挂起错误参考,忽略加载状态,"<div v-if=""status === 'pending'"">Loading...</div>",No loading indicator,High,https://nuxt.com/docs/getting-started/data-fetching
17,Lifecycle,Avoid side effects in script setup root,将副作用移至生命周期挂钩,onMounted 的副作用,根脚本设置中的 setInterval,onMounted(() => { interval = setInterval(...) }),<script setup>setInterval(...)</script>,High,https://nuxt.com/docs/guide/concepts/nuxt-lifecycle
18,Lifecycle,Use onMounted for DOM access,仅在组件挂载后才访问 DOM,onMounted 用于 DOM 操作,在设置中直接访问 DOM,onMounted(() => { document.getElementById('el') }),<script setup>document.getElementById('el')</script>,High,https://nuxt.com/docs/api/composables/on-mounted
19,Lifecycle,Use nextTick for post-render access,在访问元素之前等待 DOM 更新,状态更改后 await nextTick(),状态更改后立即访问 DOM,count.value++; await nextTick(); el.value.focus(),count.value++; el.value.focus(),Medium,https://nuxt.com/docs/api/utils/next-tick
20,Lifecycle,Use onPrehydrate for pre-hydration logic,在 Nuxt 水合页面之前运行代码,onPreHydrate 用于客户端设置,onMounted 用于水合关键代码,onPrehydrate(() => { console.log(window) }),onMounted for pre-hydration needs,Low,https://nuxt.com/docs/api/composables/on-prehydrate
21,Server,Use server/api for API routes,在 server/api 目录中创建 API 端点,/api/users 的 server/api/users.ts,手动快速设置,server/api/hello.ts -> /api/hello,app.get('/api/hello'),High,https://nuxt.com/docs/guide/directory-structure/server
22,Server,Use defineEventHandler for handlers,定义服务器路由处理程序,为所有处理程序定义 EventHandler,导出默认功能,export default defineEventHandler((event) => { return { hello: 'world' } }),"export default function(req, res) {}",High,https://nuxt.com/docs/guide/directory-structure/server
