No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Animation,Use Tailwind animate utilities,内置动画经过优化并尊重简化运动,使用 animate-pulse animate-spin animate-ping,自定义@keyframes 以获得简单效果,animate-pulse,@keyframes pulse {...},Medium,https://tailwindcss.com/docs/animation
2,Animation,Limit bounce animations,连续弹跳会分散注意力并导致晕动症,仅在 CTA 上谨慎使用 animate-bounce,页面上多个弹跳动画,Single CTA with animate-bounce,5+ elements with animate-bounce,High,
3,Animation,Transition duration,使用适当的过渡速度进行 UI 反馈,UI 的持续时间为 150 到持续时间 300,UI 元素的持续时间为 1000 或更长,transition-all duration-200,transition-all duration-1000,Medium,https://tailwindcss.com/docs/transition-duration
4,Animation,Hover transitions,添加悬停状态变化的平滑过渡,添加具有悬停状态的过渡类,即时悬停变化，无需过渡,hover:bg-gray-100 transition-colors,hover:bg-gray-100 (no transition),Low,
5,Z-Index,Use Tailwind z-* scale,具有预定义比例的一致堆叠上下文,z-0 z-10 z-20 z-30 z-40 z-50,任意 z 索引值,z-50 for modals,z-[9999],Medium,https://tailwindcss.com/docs/z-index
6,Z-Index,Fixed elements z-index,固定导航和模式需要显式 z-index,z-50 用于导航 z-40 用于下拉菜单,依赖 DOM 顺序进行堆叠,fixed top-0 z-50,fixed top-0 (no z-index),High,
7,Z-Index,Negative z-index for backgrounds,对装饰背景使用负 z 索引,z-[-1] 用于背景元素,背景的正 z 索引,-z-10 for decorative,z-10 for background,Low,
8,Layout,Container max-width,限制内容宽度以提高可读性,主要内容为 max-w-7xl mx-auto,大屏幕上的全角内容,max-w-7xl mx-auto px-4,w-full (no max-width),Medium,https://tailwindcss.com/docs/container
9,Layout,Responsive padding,调整填充以适应不同的屏幕尺寸,px-4 md:px-6 lg:px-8,所有尺寸的填充物均相同,px-4 sm:px-6 lg:px-8,px-8 (same all sizes),Medium,
10,Layout,Grid gaps,使用一致的间隙实用程序来设置间距,间隙-4 间隙-6 间隙-8,个别商品的利润,grid gap-6,grid with mb-4 on each item,Medium,https://tailwindcss.com/docs/gap
11,Layout,Flexbox alignment,使用 flex 实用程序进行对齐,项目中心对齐之间,多个嵌套包装器,flex items-center justify-between,Nested divs for alignment,Low,
12,Images,Aspect ratio,保持一致的图像长宽比,宽高比视频宽高比方形,容器上没有纵横比,aspect-video rounded-lg,No aspect control,Medium,https://tailwindcss.com/docs/aspect-ratio
13,Images,Object fit,控制容器内的图像缩放,对象覆盖对象包含,拉伸扭曲的图像,object-cover w-full h-full,No object-fit,Medium,https://tailwindcss.com/docs/object-fit
14,Images,Lazy loading,延迟加载离屏图像,在图像上加载='lazy',所有图像急切加载,<img loading='lazy'>,<img> without lazy,High,
15,Images,Responsive images,提供适当的图像尺寸,srcset 和 size 属性,所有设备均使用相同的大图,srcset with multiple sizes,4000px image everywhere,High,
16,Typography,Prose plugin,使用 @tailwindcss/typography 实现富文本,prose prose-lg 表示文章内容,Markdown 的自定义样式,prose prose-lg max-w-none,Custom text styling,Medium,https://tailwindcss.com/docs/typography-plugin
