No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Blade Templates,Use Blade components for reusable UI,将重复标记提取到命名的 Blade 组件中,对于所有可重用的 UI，将 x-* 组件与 @props 一起使用,跨视图重复的 HTML 块,"<x-card :title=""$title"">{{ $slot }}</x-card>",@include('card' ['title' => $title]),High,https://laravel.com/docs/blade#components
2,Blade Templates,Use layouts with @extends and @section,定义一个主布局并在每页上扩展它,带有命名 @section 块的 @extends 布局,每个视图中的页眉/页脚 HTML 重复,@extends('layouts.app') @section('content'),Full HTML in every view file,High,https://laravel.com/docs/blade#layouts-using-template-inheritance
3,Blade Templates,Use @props for component type-safety,使用 @props 声明组件内接受的 props,@props 默认为文档组件 API,传递任意变量而不声明,@props(['title' => '' 'variant' => 'primary']),No @props declaration in component,Medium,https://laravel.com/docs/blade#component-data-and-attributes
4,Blade Templates,Use conditional CSS classes with @class,有条件地构建类字符串，没有三元噪声,用于条件类绑定的 @class 指令,字符串连接或嵌套三元组,@class(['btn' 'btn-primary' => $primary 'btn-disabled' => $disabled]),"class=""btn {{ $primary ? 'btn-primary' : '' }}""",Medium,https://laravel.com/docs/blade#conditional-classes-and-styles
5,Blade Templates,Use named slots for flexible layouts,命名槽让调用者将内容注入特定区域,@slot('header') 和 $slot 用于灵活的组件 API,对组件内的所有子部分进行硬编码,<x-modal><x-slot:header>Title</x-slot>Body</x-modal>,"<x-modal title=""Title"">Body with no slot control</x-modal>",Medium,https://laravel.com/docs/blade#slots
6,Blade Templates,Use Blade directives instead of raw PHP,Blade 指令可读且受 IDE 支持,@if @foreach @forelse @empty 而不是 <?php ?>,Blade 模板内的原始 PHP 标签,@forelse($items as $item) ... @empty <p>None</p> @endforelse,<?php foreach($items as $item): ?>,High,https://laravel.com/docs/blade#blade-directives
7,Blade Templates,Escape output with {{ }},使用双花括号实现 XSS 安全输出,{{ }} 适用于所有用户提供的或动态文本,{！！ !!} 对于不可信数据,{{ $user->name }},{!! $user->name !!},High,https://laravel.com/docs/blade#displaying-data
8,Blade Templates,Use @vite for asset loading,Vite 集成自动处理缓存清除和 HMR,@vite(['resources/css/app.css' 'resources/js/app.js']),带有硬编码路径的手动脚本/链接标签,@vite(['resources/css/app.css' 'resources/js/app.js']),"<link href=""/css/app.css?v=123"">",High,https://laravel.com/docs/vite
9,Livewire,Bind inputs with wire:model,双向数据绑定使组件状态保持同步,wire:Livewire 管理的所有表单输入的模型,手动 JavaScript 侦听器同步到组件,"<input wire:model=""email"">","<input @change=""$wire.email = $event.target.value"">",High,https://livewire.laravel.com/docs/properties
10,Livewire,Use wire:model.live for real-time validation,对输入进行验证，而不仅仅是在提交时进行验证,wire:model.live + #[Validate] 以获得即时反馈,仅在表单提交时验证,"<input wire:model.live=""email""> with #[Validate('email')]","<input wire:model=""email""> with validate() on submit only",Medium,https://livewire.laravel.com/docs/validation
11,Livewire,Use wire:click for actions,将 UI 事件干净地绑定到组件方法,连线：单击按钮和交互元素,JavaScript fetch 调用复制 Livewire 操作,"<button wire:click=""save"">Save</button>","<button onclick=""fetch('/save')"">Save</button>",High,https://livewire.laravel.com/docs/actions
