No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
1,Hero + Features + CTA,"hero, hero-centric, hero-centric design, features, feature-rich, feature-rich showcase, cta, call-to-action","1. Hero with headline/image, 2. Value prop, 3. Key features (3-5), 4. CTA section, 5. Footer",Hero (sticky) + Bottom,英雄：品牌主要或充满活力。特点：卡片 bg #FAFAFA。 CTA：对比强调色,英雄视差、功能卡悬停升降、悬停时 CTA 发光,深度 CTA 放置。使用对比色（至少 7:1 对比度）。粘性导航栏 CTA。
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, social-proof-focused, social proof focused, trust, reviews, cta","1. Hero, 2. Problem statement, 3. Solution overview, 4. Testimonials carousel, 5. CTA",Hero (sticky) + Post-testimonials,英雄：品牌颜色。推荐：Light bg #F5F5F5。引用：斜体，柔和的颜色#666。 CTA：充满活力,推荐轮播幻灯片动画、引号动画、头像淡入,CTA 之前的社会证明。使用 3-5 个推荐。包括照片+姓名+角色。社会证明之后的 CTA。
3,Product Demo + Features,"demo, product-demo, features, showcase, interactive, interactive-product-demo, interactive product demo","1. Hero, 2. Product video/mockup (center), 3. Feature breakdown per section, 4. Comparison (optional), 5. CTA",Video center + CTA right/bottom,视频环绕：品牌颜色叠加。特点： 图标颜色#0080FF。文本：黑暗#222,视频播放按钮脉冲、功能滚动展示、演示交互亮点,嵌入式产品演示提高了参与度。如果可能的话，使用交互式模型。自动播放视频静音。
4,Minimal Single Column,"minimal, simple, direct, minimal & direct, minimal-direct, single-column, clean","1. Hero headline, 2. Short description, 3. Benefit bullets (3 max), 4. CTA, 5. Footer","Center, large CTA button",极简主义：品牌+白色#FFFFFF+口音。按钮：高对比度 7:1+。文字：黑色/深灰色,最小的悬停效果。平滑滚动。悬停时的 CTA 比例（微妙）,单一 CTA 焦点。大排版。很多空白。没有导航混乱。移动优先。
5,Funnel (3-Step Conversion),"funnel, conversion, conversion-optimized, conversion optimized, steps, wizard, onboarding","1. Hero, 2. Step 1 (problem), 3. Step 2 (solution), 4. Step 3 (action), 5. CTA progression",Each step: mini-CTA. Final: main CTA,步骤颜色：1（红色/问题）、2（橙色/过程）、3（绿色/解决方案）。 CTA：品牌颜色,步骤编号动画、进度条填充、步骤过渡平滑滚动,渐进式披露。仅显示每个步骤的基本信息。使用进度指示器。多个 CTA。
6,Comparison Table + CTA,"comparison, table, compare, versus, cta","1. Hero, 2. Problem intro, 3. Comparison table (product vs competitors), 4. Pricing (optional), 5. CTA",Table: Right column. CTA: Below table,表格：交替行（白色/浅灰色）。您的产品：突出显示#FFFACD（浅黄色）或绿色。文字：黑暗,表格行悬停突出显示、价格切换动画、功能复选标记动画,使用比较来显示独特的价值。突出显示您的产品行。在定价行中包含“免费试用”。
7,Lead Magnet + Form,"lead, form, signup, capture, email, magnet","1. Hero (benefit headline), 2. Lead magnet preview (ebook cover, checklist, etc), 3. Form (minimal fields), 4. CTA submit",Form CTA: Submit button,铅磁铁：专业设计。形式：干净的白色背景。输入：浅色边框#CCCCCC。 CTA：品牌颜色,表单焦点状态动画、输入验证动画、成功确认动画,表单字段 ≤ 3 才能获得最佳转换。提供有价值的铅磁铁预览。显示表单提交进度。
8,Pricing Page + CTA,"pricing, plans, tiers, comparison, cta","1. Hero (pricing headline), 2. Price comparison cards, 3. Feature comparison table, 4. FAQ section, 5. Final CTA",Each card: CTA button. Sticky CTA in nav,免费：灰色，入门版：蓝色，专业版：绿色/金色，企业版：深色。卡片：1px 边框、阴影,价格切换动画（每月/每年）、卡片比较突出显示、FAQ 手风琴打开/关闭,推荐入门计划（预选/突出显示）。显示年度折扣 (20-30%)。使用常见问题解答来解决问题。
9,Video-First Hero,"video, hero, media, visual, engaging","1. Hero with video background, 2. Key features overlay, 3. Benefits section, 4. CTA",Overlay on video (center/bottom) + Bottom section,视频上黑暗覆盖 60%。 CTA 的品牌口音。深色上的白色文本。,视频自动播放静音、视差滚动、滚动时文本淡入,视频参与度提高 86%。添加标题以方便访问。压缩视频以提高性能。
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story, immersive","1. Intro hook, 2. Chapter 1 (problem), 3. Chapter 2 (journey), 4. Chapter 3 (solution), 5. Climax CTA",End of each chapter (mini) + Final climax CTA,渐进式揭示。每一章都有不同的颜色。建筑强度。,ScrollTrigger 动画、视差层、渐进式显示、章节过渡,叙述内容将页面停留时间延长了 3 倍。使用进度指示器。移动设备：简化动画。
11,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero (personalized), 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware placement based on user segment,基于用户数据的自适应。 A/B 测试每个段的颜色变化。,动态内容交换、淡入淡出过渡、个性化产品推荐,个性化转化率超过 20%。需要分析集成。新用户的后备。
12,Waitlist/Coming Soon,"waitlist, coming-soon, launch, early-access, notify","1. Hero with countdown, 2. Product teaser/preview, 3. Email capture form, 4. Social proof (waitlist count)",Email form prominent (above fold) + Sticky form on scroll,预期：深色+重点突出。品牌颜色倒计时。紧急指标。,倒计时器动画、电子邮件验证反馈、成功五彩纸屑、社交分享按钮,稀缺性+排他性。显示等候名单计数。早期访问的好处。推荐计划。
