No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Reactivity,Use $: for reactive statements,自动依赖性跟踪,$: for derived values,手动重新计算,$: doubled = count * 2,let doubled; count && (doubled = count * 2),Medium,https://svelte.dev/docs/svelte-components#script-3-$-marks-a-statement-as-reactive
2,Reactivity,Trigger reactivity with assignment,Svelte 跟踪分配而不是突变,重新分配数组/对象以触发更新,变异而不重新分配,"items = [...items, newItem]",items.push(newItem),High,https://svelte.dev/docs/svelte-components#script-2-assignments-are-reactive
3,Reactivity,Use $state in Svelte 5,用于显式响应的符文,让计数 = $state(0),Svelte 5 中的隐式响应性,let count = $state(0),let count = 0 (Svelte 5),Medium,https://svelte.dev/blog/runes
4,Reactivity,Use $derived for computed values,Svelte 5 中的 $driven 取代了 $:,让加倍= $衍生（计数* 2）,$: in Svelte 5,let doubled = $derived(count * 2),$: doubled = count * 2 (Svelte 5),Medium,
5,Reactivity,Use $effect for side effects,$effect replaces $: side effects,使用 $effect 进行订阅,$: for side effects in Svelte 5,$effect(() => console.log(count)),$: console.log(count) (Svelte 5),Medium,
6,Props,Export let for props,使用 export let 声明 props,导出 let propName,没有导出的道具,export let count = 0,let count = 0,High,https://svelte.dev/docs/svelte-components#script-1-export-creates-a-component-prop
7,Props,Use $props in Svelte 5,$props rune for prop access,让 { 名称 } = $props(),Svelte 5 中的导出让,"let { name, age = 0 } = $props()",export let name; export let age = 0,Medium,
8,Props,Provide default values,带分配的默认 props,导出让计数 = 0,无默认值的必需道具,export let count = 0,export let count,Low,
9,Props,Use spread props,穿越未知道具,元素上的 {...$$restProps},手动道具转发,<button {...$$restProps}>,<button class={$$props.class}>,Low,https://svelte.dev/docs/basic-markup#attributes-and-props
10,Bindings,Use bind: for two-way binding,简化的输入处理,绑定：输入值,on：手动更新输入,<input bind:value={name}>,<input value={name} on:input={e => name = e.target.value}>,Low,https://svelte.dev/docs/element-directives#bind-property
11,Bindings,Bind to DOM elements,参考 DOM 节点,bind:this 用于元素引用,onMount 中的查询选择器,<div bind:this={el}>,onMount(() => el = document.querySelector()),Medium,
12,Bindings,Use bind:group for radios/checkboxes,简化的群组处理,bind:group 用于单选/复选框组,手动检查处理,"<input type=""radio"" bind:group={selected}>","<input type=""radio"" checked={selected === value}>",Low,
13,Events,Use on: for event handlers,事件指令语法,上：点击= {处理程序},在 onMount 中添加事件监听器,<button on:click={handleClick}>,onMount(() => btn.addEventListener()),Medium,https://svelte.dev/docs/element-directives#on-eventname
14,Events,Forward events with on:event,将事件传递给父级,on：没有处理程序的单击,为 DOM 事件创建 EventDispatcher,<button on:click>,"dispatch('click', event)",Low,
15,Events,Use createEventDispatcher,自定义组件事件,调度自定义事件,on:event 用于自定义事件,"dispatch('save', { data })",on:save without dispatch,Medium,https://svelte.dev/docs/svelte#createeventdispatcher
16,Lifecycle,Use onMount for initialization,组件安装后运行代码,onMount 用于设置和数据获取,脚本主体中的代码以消除副作用,onMount(() => fetchData()),fetchData() in script body,High,https://svelte.dev/docs/svelte#onmount
17,Lifecycle,Return cleanup from onMount,销毁时自动清理,onMount 返回函数,单独的 onDestroy 进行配对清理,onMount(() => { sub(); return unsub }),onMount(sub); onDestroy(unsub),Medium,
18,Lifecycle,Use onDestroy sparingly,仅当无法进行 onMount 清理时,onDestroy 用于非安装清理,onDestroy 用于与挂载相关的清理,onDestroy for store unsubscribe,onDestroy(() => clearInterval(id)),Low,
19,Lifecycle,Avoid beforeUpdate/afterUpdate,通常不需要,改为响应式语句,beforeUpdate 派生状态,$: if (x) doSomething(),beforeUpdate(() => doSomething()),Low,
20,Stores,Use writable for mutable state,基本响应式存储,共享可变状态可写,共享状态的局部变量,const count = writable(0),let count = 0 in module,Medium,https://svelte.dev/docs/svelte-store#writable
21,Stores,Use readable for read-only state,外部数据源,可读导出/外部数据,可写只读数据,"readable(0, set => interval(set))",writable(0) for timer,Low,https://svelte.dev/docs/svelte-store#readable
22,Stores,Use derived for computed stores,合并或改造商店,导出计算值,派生手动订阅,"derived(count, $c => $c * 2)",count.subscribe(c => doubled = c * 2),Medium,https://svelte.dev/docs/svelte-store#derived
23,Stores,Use $ prefix for auto-subscription,自动订阅/取消订阅,组件中的 $storeName,手动订阅,{$count},count.subscribe(c => value = c),High,
24,Stores,Clean up custom subscriptions,组件销毁时取消订阅,从 onMount 返回取消订阅,保持订阅开放,onMount(() => store.subscribe(fn)),store.subscribe(fn) in script,High,
25,Slots,Use slots for composition,内容投影,<slot> 用于灵活的内容,所有内容的道具,<slot>Default</slot>,"<Component content=""text""/>",Medium,https://svelte.dev/docs/special-elements#slot
26,Slots,Name slots for multiple areas,多个内容领域,<插槽名称=“标题”>,用于复杂布局的单插槽,"<slot name=""header""><slot name=""footer"">",<slot> with complex conditionals,Low,
