No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential",单色，黑色 #000000，白色 #FFFFFF,中性色（米色 #F5F1E8、灰色 #808080、灰褐色 #B38B6D）、主色调,微妙的悬停（200-250ms），平滑的过渡，锐利的阴影（如果有），清晰的类型层次结构，快速加载,企业应用程序、仪表板、文档站点、SaaS 平台、专业工具,创意组合、娱乐、有趣的品牌、艺术实验,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,◐ 中等,Tailwind 10/10、Bootstrap 9/10、MUI 9/10,20 世纪 50 年代瑞士,低,"Design a minimalist landing page. Use: white space, geometric layouts, sans-serif fonts, high contrast, grid-based structure, essential elements only. Avoid shadows and gradients. Focus on clarity and functionality.","display: grid, gap: 2rem, font-family: sans-serif, color: #000 or #FFF, max-width: 1200px, clean borders, no box-shadow unless necessary",✓ 基于网格的布局 12-16 列， ✓ 版式层次结构清晰， ✓ 没有不必要的装饰， ✓ WCAG AAA 对比度验证， ✓ 移动响应网格,"--spacing: 2rem, --border-radius: 0px, --font-weight: 400-700, --shadow: none, --accent-color:仅单一主要"
2,Neumorphism,General,"Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic",浅粉色：柔和的蓝色#C8E0F4、柔和的粉色#F5E0E8、柔和的灰色#E8E8E8,色调/色调 (±30%)、渐变微妙、色彩和谐,柔光箱阴影（倍数：-5px -5px 15px、5px 5px 15px）、平滑按压（150ms）、内部细微阴影,健康/保健应用程序、冥想平台、健身追踪器、最小交互 UI,复杂的应用程序、关键的可访问性、数据密集的仪表板、需要高对比度,✓ Full,◐ Partial,⚡ 好,⚠ 低对比度,✓ 好,◐ 中等,Tailwind 8/10，CSS-in-JS 9/10,2020 年代现代,中,"Create a neumorphic UI with soft 3D effects. Use light pastels, rounded corners (12-16px), subtle soft shadows (multiple layers), no hard lines, monochromatic color scheme with light/dark variations. Embossed/debossed effect on interactive elements.","border-radius: 12-16px, box-shadow: -5px -5px 15px rgba(0,0,0,0.1), 5px 5px 15px rgba(255,255,255,0.8), background: linear-gradient(145deg, color1, color2), transform: scale on press",圆角 12-16px 一致，多个阴影层 (2-3)，验证柔和的颜色，检查单色调色板，按动画平滑 150 毫秒,"--border-radius: 14px, --shadow-soft-1:-5px -5px 15px, --shadow-soft-2:5px 5px 15px, --color-light: #F5F5F5, --color-primary:单粉彩"
3,Glassmorphism,General,"Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer","半透明白色：rgba(255,255,255,0.1-0.3)",鲜艳：电光蓝 #0080FF、霓虹紫 #8B00FF、亮粉色 #FF1493、青色 #20B2AA,背景模糊（10-20px），微妙边框（1px 实心 rgba 白色 0.2），光反射，Z 深度,现代 SaaS、财务仪表板、高端企业、生活方式应用程序、模式叠加、导航,低对比度背景、关键辅助功能、性能有限、深色文本,✓ Full,✓ Full,⚠ 好,⚠ 确保 4.5:1,✓ 好,✓ 高,Tailwind 9/10、MUI 8/10、Chakra UI 8/10,2020 年代现代,中,"Design a glassmorphic interface with frosted glass effect. Use backdrop blur (10-20px), translucent overlays (rgba 10-30% opacity), vibrant background colors, subtle borders, light source reflection, layered depth. Perfect for modern overlays and cards.","backdrop-filter: blur(15px), background: rgba(255, 255, 255, 0.15), border: 1px solid rgba(255,255,255,0.2), -webkit-backdrop-filter: blur(15px), z-index layering for depth",背景滤镜模糊 10-20px，半透明白色 15-30% 不透明度，微妙边框 1px 光，已验证充满活力的背景，已检查文本对比度 4.5:1,"--blur-amount: 15px, --glass-opacity: 0.15, --border-color:RGBA(255,255,255,0.2), --background:鲜艳的色彩, --text-color:基于 BG 的亮/暗"
4,Brutalism,General,"Raw, unpolished, stark, high contrast, plain text, default fonts, visible borders, asymmetric, anti-design",主要：红色#FF0000、蓝色#0000FF、黄色#FFFF00、黑色#000000、白色#FFFFFF,限量版：霓虹绿 #00FF00、亮粉色 #FF00FF、最小次要,没有平滑过渡（即时）、尖角（0px）、粗体排版（700+）、可见网格、大块,设计作品集、艺术项目、反文化品牌、社论/媒体网站、科技博客,公司环境、保守的行业、关键的可达性、面向客户的专业人士,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,◐ 中等,✗ 低,Tailwind 10/10，Bootstrap 7/10,20 世纪 50 年代野兽派,低,"Create a brutalist design with raw, unpolished, stark aesthetic. Use pure primary colors (red, blue, yellow), black & white, no smooth transitions (instant), sharp corners, bold large typography, visible grid lines, default system fonts, intentional 'broken' design elements.","border-radius: 0px, transition: none or 0s, font-family: system-ui or monospace, font-weight: 700+, border: visible 2-4px, colors: #FF0000, #0000FF, #FFFF00, #000000, #FFFFFF",☐ 无边框半径（0px）、无过渡（即时）、粗体排版（700+）、使用纯原色、可见网格/边框、故意不对称布局,"--border-radius: 0px, --transition-duration: 0s, --font-weight: 700-900, --colors:仅主要, --border-style: visible, --grid-visible: true"
5,3D & Hyperrealism,General,"Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic elements, rich detail, immersive",深海军蓝 #001F3F、森林绿 #228B22、酒红色 #800020、金色 #FFD700、银色 #C0C0C0,复杂的渐变（5-10 级）、真实的光照、阴影变化（暗 20-40%）,WebGL/Three.js 3D、真实阴影（层）、物理照明、视差（3-5 层）、平滑 3D（300-400ms）,游戏、产品展示、沉浸式体验、高端电商、建筑可视化、VR/AR,低端移动、性能有限、关键可访问性、数据表/表单,◐ Partial,◐ Partial,❌ 性能较差,⚠ 无障碍支持差 / 体验不友好,✗ 低,◐ 中等,Three.js 10/10、R3F 10/10、Babylon.js 10/10,2020 年代现代,高,"Build an immersive 3D interface using realistic textures, 3D models (Three.js/Babylon.js), complex shadows, realistic lighting, parallax scrolling (3-5 layers), physics-based motion. Include skeuomorphic elements with tactile detail.","transform: translate3d, perspective: 1000px, WebGL canvas, Three.js/Babylon.js library, box-shadow: complex multi-layer, background: complex gradients, filter: drop-shadow()",集成 WebGL/Three.js、加载 3D 模型、视差 3-5 层、验证真实光照、渲染复杂阴影、平滑物理动画 300-400 毫秒,"--perspective: 1000px, --parallax-layers: 5, --lighting-intensity:现实的, --shadow-depth: 20-40%, --animation-duration: 300-400ms"
6,Vibrant & Block-based,General,"Bold, energetic, playful, block layout, geometric shapes, high color contrast, duotone, modern, energetic",霓虹绿 #39FF14、电光紫 #BF00FF、鲜艳粉色 #FF1493、亮青色 #00FFFF、旭日纹 #FFAA00,互补色：橙色#FF7F00、震撼粉色#FF006E、石灰#CCFF00、分裂互补配色方案,大部分（48px+ 间隙）、动画图案、粗体悬停（颜色偏移）、滚动对齐、大字体（32px+）、200-300 毫秒,初创公司、创意机构、游戏、社交媒体、青年、娱乐、消费者,金融机构、医疗保健、正规企业、政府、保守派、老年人,✓ Full,✓ Full,⚡ 好,◐ 确保 WCAG,✓ 高,✓ 高,Tailwind 10/10、Chakra UI 9/10、风格 9/10,2020 年代现代,中,"Design an energetic, vibrant interface with bold block layouts, geometric shapes, high color contrast, large typography (32px+), animated background patterns, duotone effects. Perfect for startups and youth-focused apps. Use 4-6 contrasting colors from complementary/triadic schemes.","display: flex/grid with large gaps (48px+), font-size: 32px+, background: animated patterns (CSS), color: neon/vibrant colors, animation: continuous pattern movement",具有 48px 以上间隙的块布局，32px 以上的大型排版，最多 4-6 种鲜艳的颜色，动态图案处于活动状态，启用滚动捕捉，验证高对比度（7:1+）,"--block-gap: 48px, --typography-size:32px+, --color-palette:4-6 种鲜艳的颜色, --animation:连续图案, --contrast-ratio: 7:1+"
7,Dark Mode (OLED),General,"Dark theme, low light, high contrast, deep black, midnight blue, eye-friendly, OLED, night mode, power efficient",深黑色 #000000、深灰色 #121212、午夜蓝 #0A0E27,充满活力的色调：霓虹绿#39FF14、电光蓝#0080FF、金色#FFD700、等离子紫#BF00FF,最小辉光（文本阴影：0 0 10px）、暗到亮过渡、低白光发射、高可读性、可见焦点,夜间模式应用程序、编码平台、娱乐、眼睛疲劳预防、OLED 设备、低光,打印内容优先、户外高亮度、色彩准确性至关重要,✗ No,✓ Only,⚡ 非常好,✓ WCAG AAA,✓ 高,◐ 低,Tailwind 10/10、MUI 10/10、Chakra UI 10/10,2020 年代现代,低,"Create an OLED-optimized dark interface with deep black (#000000), dark grey (#121212), midnight blue accents. Use minimal glow effects, vibrant neon accents (green, blue, gold, purple), high contrast text. Optimize for eye comfort and OLED power saving.","background: #000000 or #121212, color: #FFFFFF or #E0E0E0, text-shadow: 0 0 10px neon-color (sparingly), filter: brightness(0.8) if needed, color-scheme: dark",深黑色 #000000 或 #121212，使用充满活力的霓虹灯口音，文本对比度 7:1+，最小发光效果，OLED 功率优化，无白色 (#FFFFFF) 背景,"--bg-black: #000000, --bg-dark-grey: #121212, --text-primary: #FFFFFF, --accent-neon:霓虹色, --glow-effect:最小的, --oled-optimized: true"
8,Accessible & Ethical,General,"High contrast, large text (16px+), keyboard navigation, screen reader friendly, WCAG compliant, focus state, semantic",WCAG AA/AAA (4.5:1 分钟)，简单的初级，清晰的次级，高亮度 (7:1+),基于符号的颜色（不仅仅是颜色）、支持图案、包容性组合,清晰的焦点环（3-4px）、ARIA 标签、跳过链接、响应式设计、减少运动、44x44px 触摸目标,政府、医疗、教育、普惠产品、受众广泛、合法合规、公众,无 - 无障碍通用,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 高,所有框架 10/10,通用,低,"Design with WCAG AAA compliance. Include: high contrast (7:1+), large text (16px+), keyboard navigation, screen reader compatibility, focus states visible (3-4px ring), semantic HTML, ARIA labels, skip links, reduced motion support (prefers-reduced-motion), 44x44px touch targets.","color-contrast: 7:1+, font-size: 16px+, outline: 3-4px on :focus-visible, aria-label, role attributes, @media (prefers-reduced-motion), touch-target: 44x44px, cursor: pointer",CWAG AAA 验证、7:1+ 对比度检查、键盘导航测试、屏幕阅读器测试、焦点可见 3-4px、使用语义 HTML、触摸目标 44x44px,"--contrast-ratio: 7:1, --font-size-min: 16px, --focus-ring: 3-4px, --touch-target: 44x44px, --wcag-level: AAA, --keyboard-accessible: true, --sr-tested: true"
9,Claymorphism,General,"Soft 3D, chunky, playful, toy-like, bubbly, thick borders (3-4px), double shadows, rounded (16-24px)",粉彩：软桃色 #FDBCB4、淡蓝色 #ADD8E6、薄荷色 #98FF98、丁香色 #E6E6FA、浅 BG,柔和渐变（柔和到柔和）、明暗变化 (20-30%)、微妙渐变,内+外阴影（微妙，无硬线），软压（200 毫秒缓出），蓬松的元素，平滑的过渡,教育应用、儿童应用、SaaS 平台、创意工具、趣味游戏、入门游戏、休闲游戏,正规公司、专业服务、数据关键、严肃/医疗、法律应用、金融,✓ Full,◐ Partial,⚡ 好,⚠ 确保 4.5:1,✓ 高,✓ 高,Tailwind 9/10，CSS-in-JS 9/10,2020 年代现代,中,"Design a playful, toy-like interface with soft 3D, chunky elements, bubbly aesthetic, rounded edges (16-24px), thick borders (3-4px), double shadows (inner + outer), pastel colors, smooth animations. Perfect for children's apps and creative tools.","border-radius: 16-24px, border: 3-4px solid, box-shadow: inset -2px -2px 8px, 4px 4px 8px, background: pastel-gradient, animation: soft bounce (cubic-bezier 0.34, 1.56)",边框半径 16-24px，厚边框 3-4px，双阴影（内部+外部），使用柔和的颜色，软弹跳动画，有趣的互动,"--border-radius: 20px, --border-width: 3-4px, --shadow-inner:插图-2px -2px 8px, --shadow-outer:4px 4px 8px, --color-palette:粉彩, --animation:弹跳"
10,Aurora UI,General,"Vibrant gradients, smooth blend, Northern Lights effect, mesh gradient, luminous, atmospheric, abstract",互补色：蓝橙色、紫黄色、电蓝色 #0080FF、洋红色 #FF1493、青色 #00FFFF,平滑过渡（蓝色→紫色→粉色→青色）、虹彩效果、混合模式（滤色、相乘）,大流动的 CSS/SVG 渐变、微妙的 8-12 秒动画、颜色分层的深度、平滑的变形,现代 SaaS、创意机构、品牌、音乐平台、生活方式、优质产品、英雄板块,数据密集的仪表板、关键的可访问性、内容密集的地方容易分散注意力,✓ Full,✓ Full,⚠ 好,⚠ 文字对比,✓ 好,✓ 高,Tailwind 9/10，CSS-in-JS 10/10,2020 年代现代,中,"Create a vibrant gradient interface inspired by Northern Lights with mesh gradients, smooth color blends, flowing animations. Use complementary color pairs (blue-orange, purple-yellow), flowing background gradients, subtle continuous animations (8-12s loops), iridescent effects.","background: conic-gradient or radial-gradient with multiple stops, animation: @keyframes gradient (8-12s), background-size: 200% 200%, filter: saturate(1.2), blend-mode: screen or multiply",应用网格/流动渐变、8-12 秒动画循环、使用互补色、平滑的颜色过渡、微妙的虹彩效果、验证文本对比度,"--gradient-colors:互补对, --animation-duration: 8-12s, --blend-mode:屏幕, --color-saturation: 1.2, --effect:彩虹色的, --loop-smooth: true"
