No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
1,SaaS (General),Hero + Features + CTA,Glassmorphism + Flat Design,信任蓝色+强调对比,专业+层级,微妙的悬停（200-250ms）+平滑过渡,"{""if_ux_focused"": ""prioritize-minimalism"", ""if_data_heavy"": ""add-glassmorphism""}",过多动画+默认暗黑模式,HIGH
2,Micro SaaS,Hero-Centric + Trust,Motion-Driven + Vibrant & Block,粗体原色+强调对比,现代+充满活力的排版,滚动触发动画+视差,"{""if_pre_launch"": ""use-waitlist-pattern"", ""if_video_ready"": ""add-hero-video""}",静态设计+无视频+移动端较差,HIGH
3,E-commerce,Feature-Rich Showcase,Vibrant & Block-based,品牌主+成功绿,参与+清晰的层次结构,卡片悬停升降（200ms）+缩放效果,"{""if_luxury"": ""switch-to-liquid-glass"", ""if_conversion_focused"": ""add-urgency-colors""}",没有深度的扁平化设计+文字较多的页面,HIGH
4,E-commerce Luxury,Feature-Rich Showcase,Liquid Glass + Glassmorphism,优质的色彩+极简的口音,优雅+精致的排版,色差+流体动画（400-600ms）,"{""if_checkout"": ""emphasize-trust"", ""if_hero_needed"": ""use-3d-hyperrealism""}",充满活力的块状+俏皮的色彩,HIGH
5,B2B Service,Feature-Rich Showcase + Trust,Trust & Authority + Minimalism,专业蓝+中性灰,正式+清晰的排版,部分过渡+功能揭示,"{""must_have"": ""case-studies"", ""must_have"": ""roi-messaging""}",俏皮设计+隐藏凭证+AI 紫/粉色渐变,HIGH
6,Financial Dashboard,Data-Dense Dashboard,Dark Mode (OLED) + Data-Dense,深色背景 + 红/绿警报 + 信任蓝,清晰+可读的排版,实时数字动画+警报脉冲,"{""must_have"": ""real-time-updates"", ""must_have"": ""high-contrast""}",光照模式默认+慢速渲染,HIGH
7,Analytics Dashboard,Data-Dense + Drill-Down,Data-Dense + Heat Map,冷色→热色渐变+中性灰,清晰+功能性的排版,悬停工具提示+图表缩放+过滤动画,"{""must_have"": ""data-export"", ""if_large_dataset"": ""virtualize-lists""}",华丽的设计+无过滤,HIGH
8,Healthcare App,Social Proof-Focused,Neumorphism + Accessible & Ethical,平静蓝+健康绿,可读 + 大字体 (16px+),柔光箱-阴影+平滑按压（150ms）,"{""must_have"": ""wcag-aaa-compliance"", ""if_medication"": ""red-alert-colors""}",明亮的霓虹色 + 运动动画 + AI 紫色/粉色渐变,HIGH
9,Educational App,Feature-Rich Showcase,Claymorphism + Micro-interactions,俏皮的色彩+清晰的层次,友好+引人入胜的排版,轻压（200ms）+蓬松元素,"{""if_gamification"": ""add-progress-animation"", ""if_children"": ""increase-playfulness""}",暗黑模式+复杂行话,MEDIUM
10,Creative Agency,Storytelling-Driven,Brutalism + Motion-Driven,大胆的初选+艺术自由,大胆+富有表现力的排版,CRT 扫描线 + 霓虹灯发光 + 毛刺效果,"{""must_have"": ""case-studies"", ""if_boutique"": ""increase-artistic-freedom""}",企业极简主义+隐藏的投资组合,HIGH
11,Portfolio/Personal,Storytelling-Driven,Motion-Driven + Minimalism,品牌主力+艺术性,富有表现力+可变排版,视差（3-5 层）+滚动触发显示,"{""if_creative_field"": ""add-brutalism"", ""if_minimal_portfolio"": ""reduce-motion""}",企业模板+通用布局,MEDIUM
12,Gaming,Feature-Rich Showcase,3D & Hyperrealism + Retro-Futurism,活力+霓虹灯+沉浸式,大胆+有影响力的排版,WebGL 3D 渲染+故障效果,"{""if_competitive"": ""add-real-time-stats"", ""if_casual"": ""increase-playfulness""}",极简设计+静态资源,HIGH
13,Government/Public Service,Minimal & Direct,Accessible & Ethical + Minimalism,专业蓝+高对比度,清晰+大字体,清晰的焦点环（3-4px）+跳过链接,"{""must_have"": ""wcag-aaa"", ""must_have"": ""keyboard-navigation""}",华丽的设计+低对比度+动态效果+AI 紫色/粉色渐变,HIGH
14,Fintech/Crypto,Trust & Authority,Minimalism + Accessible & Ethical,海军蓝+信赖蓝+金色,专业+值得信赖,平滑的状态转换+数字动画,"{""must_have"": ""security-first"", ""if_dashboard"": ""use-dark-mode""}",俏皮的设计+不明确的收费+AI 紫/粉渐变,HIGH
15,Social Media App,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,充满活力+订婚的颜色,现代+大胆的排版,大滚动动画+图标动画,"{""if_engagement_metric"": ""add-motion"", ""if_content_focused"": ""minimize-chrome""}",严重拟物化+忽略可访问性,MEDIUM
16,Productivity Tool,Interactive Demo + Feature-Rich,Flat Design + Micro-interactions,层次清晰+功能性色彩,干净+高效的排版,快速操作（150 毫秒）+ 任务动画,"{""must_have"": ""keyboard-shortcuts"", ""if_collaboration"": ""add-real-time-cursors""}",复杂的入职+缓慢的性能,HIGH
17,Design System/Component Library,Feature-Rich + Documentation,Minimalism + Accessible & Ethical,清晰的层次结构+类似代码的结构,等宽字体+清晰的排版,代码复制动画+组件预览,"{""must_have"": ""search"", ""must_have"": ""code-examples""}",糟糕的文档 + 没有实时预览,HIGH
18,AI/Chatbot Platform,Interactive Demo + Minimal,AI-Native UI + Minimalism,中性 + AI 紫色 (#6366F1),现代+清晰的排版,流式文本 + 键入指示器 + 淡入,"{""must_have"": ""conversational-ui"", ""must_have"": ""context-awareness""}",重镀铬+反应迟钝,HIGH
19,NFT/Web3 Platform,Feature-Rich Showcase,Cyberpunk UI + Glassmorphism,深色 + 霓虹色 + 金色 (#FFD700),大胆+现代排版,钱包连接动画+交易反馈,"{""must_have"": ""wallet-integration"", ""must_have"": ""gas-fees-display""}",轻模式默认+无交易状态,HIGH
20,Creator Economy Platform,Social Proof + Feature-Rich,Vibrant & Block-based + Bento Box Grid,充满活力+品牌色彩,现代+大胆的排版,参与度计数器动画 + 个人资料显示,"{""must_have"": ""creator-profiles"", ""must_have"": ""monetization-display""}",通用布局+隐藏收益,MEDIUM
21,Remote Work/Collaboration Tool,Feature-Rich + Real-Time,Soft UI Evolution + Minimalism,沉稳蓝+中性灰,干净+可读的排版,实时状态指示器+通知徽章,"{""must_have"": ""status-indicators"", ""must_have"": ""video-integration""}",界面混乱+没有存在感,HIGH
22,Mental Health App,Social Proof-Focused,Neumorphism + Accessible & Ethical,平静的粉彩 + 信任的色彩,平静+可读的排版,轻按+呼吸动画,"{""must_have"": ""privacy-first"", ""if_meditation"": ""add-breathing-animation""}",明亮的霓虹灯+运动过载,HIGH
23,Pet Tech App,Storytelling + Feature-Rich,Claymorphism + Vibrant & Block-based,俏皮+暖色调,友好+有趣的排版,宠物档案动画+健康追踪图表,"{""must_have"": ""pet-profiles"", ""if_health"": ""add-vet-integration""}",通用设计+无个性,MEDIUM
24,Smart Home/IoT Dashboard,Real-Time Monitoring,Glassmorphism + Dark Mode (OLED),深色 + 状态指示灯颜色,清晰+功能性的排版,设备状态脉冲+快速动作动画,"{""must_have"": ""real-time-controls"", ""must_have"": ""energy-monitoring""}",更新缓慢+无自动化,HIGH
25,EV/Charging Ecosystem,Hero-Centric + Feature-Rich,Minimalism + Aurora UI,电光蓝 (#009CD1) + 绿,现代+清晰的排版,范围估计动画+地图交互,"{""must_have"": ""charging-map"", ""must_have"": ""range-calculator""}",糟糕的地图用户体验 + 隐藏成本,HIGH
26,Subscription Box Service,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,品牌+兴奋的色彩,引人入胜+清晰的排版,开箱展示动画+产品轮播,"{""must_have"": ""personalization-quiz"", ""must_have"": ""subscription-management""}",令人困惑的定价+没有拆箱预览,HIGH
27,Podcast Platform,Storytelling + Feature-Rich,Dark Mode (OLED) + Minimalism,深色 + 音频波形强调,现代+清晰的排版,波形可视化 + 片段转换,"{""must_have"": ""audio-player-ux"", ""must_have"": ""episode-discovery""}",糟糕的音频播放器+混乱的布局,HIGH
28,Dating App,Social Proof + Feature-Rich,Vibrant & Block-based + Motion-Driven,温暖+浪漫（粉色/红色渐变）,现代+友好的排版,个人资料卡滑动 + 匹配动画,"{""must_have"": ""profile-cards"", ""must_have"": ""safety-features""}",通用型材+无安全性,HIGH
29,Micro-Credentials/Badges Platform,Trust & Authority + Feature,Minimalism + Flat Design,信任蓝 + 金色 (#FFD700),专业+清晰的排版,徽章显示动画+进度跟踪,"{""must_have"": ""credential-verification"", ""must_have"": ""progress-display""}",无需验证+隐藏进度,MEDIUM
30,Knowledge Base/Documentation,FAQ + Minimal,Minimalism + Accessible & Ethical,清晰的层次结构+最少的色彩,清晰+可读的排版,搜索突出显示+平滑滚动,"{""must_have"": ""search-first"", ""must_have"": ""version-switching""}",糟糕的导航 + 没有搜索,HIGH
31,Hyperlocal Services,Conversion + Feature-Rich,Minimalism + Vibrant & Block-based,位置标记 + 信任颜色,清晰+功能性的排版,地图悬停+提供商卡显示,"{""must_have"": ""map-integration"", ""must_have"": ""booking-system""}",无地图+隐藏评论,HIGH
32,Beauty/Spa/Wellness Service,Hero-Centric + Social Proof,Soft UI Evolution + Neumorphism,柔和的粉彩（粉鼠尾草奶油色）+金色点缀,优雅+平静的排版,柔和的阴影+平滑过渡（200-300ms）+温和的悬停,"{""must_have"": ""booking-system"", ""must_have"": ""before-after-gallery"", ""if_luxury"": ""add-gold-accents""}",明亮的霓虹色+粗糙的动画+黑暗黑模式,HIGH
