No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Accessibility,Icon Button Labels,icon button accessibilityLabel,iOS/Android/React Native,仅图标按钮必须公开可访问的标签,在图标按钮上设置 accessibilityLabel 或 label 属性,没有可访问名称的图标按钮,"<Pressable accessibilityLabel=""Close""><XIcon /></Pressable>",<Pressable><XIcon /></Pressable>,Critical
2,Accessibility,Form Control Labels,form input label accessibilityLabel,iOS/Android/React Native,所有输入都必须具有可见标签和可访问性标签,将文本标签与输入配对并设置 accessibilityLabel,仅带有占位符的输入,"<View><Text>Email</Text><TextInput accessibilityLabel=""Email address"" /></View>","<TextInput placeholder=""Email"" /></View>",Critical
3,Accessibility,Role & Traits,accessibilityRole accessibilityTraits,iOS/Android/React Native,交互元素必须暴露正确的角色/特征,使用 accessibilityRole/按钮/链接/复选框等。,依赖没有角色的通用视图,"<Pressable accessibilityRole=""button"">Submit</Pressable>",<View onTouchStart={submit}>Submit</View>,High
4,Accessibility,Dynamic Updates,accessibilityLiveRegion announce,iOS/Android/React Native,应向屏幕阅读器宣布异步状态更新,使用 accessibilityLiveRegion 或 announceForAccessibility,静默更新文本，不通知,"<Text accessibilityLiveRegion=""polite"">{status}</Text>",<Text>{status}</Text>,Medium
5,Accessibility,Decorative Icons,accessible={false} importantForAccessibility,iOS/Android/React Native,装饰图标应该对屏幕阅读器隐藏,将装饰图标标记为无障碍不友好,让屏幕阅读器读取每个图标,"<Icon accessible={false} importantForAccessibility=""no"" />",<Icon />,Medium
6,Touch,Touch Target Size,touch 44x44 hitSlop,iOS/Android/React Native,主要触摸目标必须至少为 44x44pt,增加 hitSlop 或 padding 以满足最小值,带有小触摸区域的小图标,<Pressable hitSlop={10}><Icon /></Pressable>,"<Pressable><Icon style={{ width: 16, height: 16 }} /></Pressable>",Critical
7,Touch,Touch Spacing,touch spacing gap 8px,iOS/Android/React Native,相邻触摸目标需要足够的间距,可触摸对象之间至少保持 8dp 的间距,许多按钮没有间隙地聚集在一起,<View style={{ gap: 8 }}><Button ... /><Button ... /></View>,<View><Button ... /><Button ... /></View>,Medium
8,Touch,Gesture Conflicts,scroll swipe back gesture,iOS/Android/React Native,自定义手势不得破坏系统滚动/后退,为轮播保留水平滑动,全屏自定义滑动与返回冲突,HorizontalPager inside vertical ScrollView,PanResponder on full screen blocking back,High
9,Navigation,Back Behavior,back handler navigation stack,iOS/Android/React Native,后退导航应该是可预测的并保留状态,使用 navigation.goBack 并保持屏幕状态,重置导航栈或意外退出应用程序,onPress={() => navigation.goBack()},BackHandler.exitApp() on first press,Critical
10,Navigation,Bottom Tabs,tab bar max items,iOS/Android/React Native,底部标签栏最多应有 5 个主要项目,使用 3-5 个选项卡并将额外内容移至更多/设置,带有许多图标的超载选项卡栏,Home/Explore/Profile/Settings,Home/Explore/Shop/Cart/Profile/Settings/More,Medium
11,Navigation,Modal Escape,modal dismiss close affordance,iOS/Android/React Native,模态框/表单必须有明确的关闭动作,在平台期望的位置提供关闭按钮和向下滑动按钮,将用户困在没有明显退出的模式中,"<Modal><Button title=""Close"" onPress={onClose} /></Modal>",<Modal><View>{children}</View></Modal>,High
