No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composable,Pure UI composables,可组合函数应该只渲染 UI,接受状态和回调,调用用例/存储库,Pure UI composable,Business logic in UI,High,https://developer.android.com/jetpack/compose/mental-model
2,Composable,Small composables,每个可组合项都有单一职责,分成组件,巨大的可组合性,Reusable UI,Monolithic UI,Medium,
3,Composable,Stateless by default,更喜欢无状态可组合项,提升状态,局部可变状态,Stateless UI,Hidden state,High,https://developer.android.com/jetpack/compose/state#state-hoisting
4,State,Single source of truth,UI 状态来自一个来源,来自 VM 的 StateFlow,多个州,Unified UiState,Scattered state,High,https://developer.android.com/topic/architecture/ui-layer
5,State,Model UI State,使用密封接口/数据类,UiState.加载中,布尔标志,Explicit state,Flag hell,High,
6,State,remember only UI state,记住仅 UI 状态,滚动、动画,经营状态,Correct remember,Misuse remember,High,https://developer.android.com/jetpack/compose/state
7,State,rememberSaveable,跨配置保持状态,记住可保存,记住,State survives,State lost,High,https://developer.android.com/jetpack/compose/state#restore-ui-state
8,State,derivedStateOf,优化重组,派生状态,总是重新计算,Optimized,Jank,Medium,https://developer.android.com/jetpack/compose/performance
9,SideEffect,LaunchedEffect keys,使用正确的按键,启动效果(id),启动效果(个),Scoped effect,Infinite loop,High,https://developer.android.com/jetpack/compose/side-effects
10,SideEffect,rememberUpdatedState,避免过时的 lambda,记住更新状态,直接捕捉,Safe callback,Stale state,Medium,https://developer.android.com/jetpack/compose/side-effects
11,SideEffect,DisposableEffect,清理资源,释放,无需清理,No leak,Memory leak,High,
12,Architecture,Unidirectional data flow,UI → 虚拟机 → 状态,事件处理,双向绑定,Predictable flow,Hard debug,High,https://developer.android.com/topic/architecture
13,Architecture,No business logic in UI,逻辑属于 VM,收集状态,调用回购协议,Clean UI,Fat UI,High,
14,Architecture,Expose immutable state,暴露状态流,作为状态流,可变暴露,Safe API,State mutation,High,
15,Lifecycle,Lifecycle-aware collect,使用 collectAsStateWithLifecycle,生命周期感知,收集为状态,No leak,Leak,High,https://developer.android.com/jetpack/compose/lifecycle
16,Navigation,Event-based navigation,VM 发出导航事件,VM：Channel + receiveAsFlow()，V：使用 Dispatchers.Main.immediate 进行收集,用户界面中的导航,Decoupled nav,Using State / SharedFlow for navigation -> event is replayed and navigation fires again (StateFlow),High,https://developer.android.com/jetpack/compose/navigation
17,Navigation,Typed routes,使用密封路线,密封类路线,字符串路由,Type-safe,Runtime crash,Medium,
18,Performance,Stable parameters,更喜欢不可变/稳定的参数,@不可变,可变参数,Stable recomposition,Extra recomposition,High,https://developer.android.com/jetpack/compose/performance
19,Performance,Use key in Lazy,提供稳定的密钥,密钥=id,没有钥匙,Stable list,Item jump,High,
20,Performance,Avoid heavy work,UI 中没有繁重的计算,在虚拟机中预计算,在 UI 中计算,Smooth UI,Jank,High,
21,Performance,Remember expensive objects,记住重物,记住,重新创建每个重组,Efficient,Wasteful,Medium,
22,Theming,Design system,集中主题,Material3 代币,硬编码值,Consistent UI,Inconsistent,High,https://developer.android.com/jetpack/compose/themes
23,Theming,Dark mode support,基于主题的颜色,配色方案,固定颜色,Adaptive UI,Broken dark,Medium,
24,Layout,Prefer Modifier over extra layouts,使用 Modifier 调整布局而不是添加包装器可组合项,使用 Modifier.padding(),用额外的 Box 包裹内容,Padding via modifier,Box just for padding,High,https://developer.android.com/jetpack/compose/modifiers
25,Layout,Avoid deep layout nesting,深布局树增加了测量和布局成本,保持布局平坦,盒子？柱子 ？盒子 ？行,Flat hierarchy,Deep nested tree,High,
26,Layout,Use Row/Column for linear layout,线性布局更简单且性能更高,使用行/列,简单案例的自定义布局,Row/Column usage,Over-engineered layout,High,
27,Layout,Use Box only for overlapping content,仅当孩子们重叠时才应使用盒子,堆栈元素,使用框作为列,Proper overlay,Misused Box,Medium,
28,Layout,Prefer LazyColumn over Column scroll,惰性布局虚拟化且高效,惰性列,Column.verticalScroll(),Lazy list,Scrollable Column,High,https://developer.android.com/jetpack/compose/lists
29,Layout,Avoid nested scroll containers,嵌套滚动会导致用户体验和性能问题,单滚动容器,在滚动条内滚动,One scroll per screen,Nested scroll,High,
30,Layout,Avoid fillMaxSize by default,fillMaxSize 可能会破坏父约束,使用精确尺寸,处处填充 max,Constraint-aware size,Overfilled layout,Medium,
31,Layout,Avoid intrinsic size unless necessary,固有测量成本昂贵,明确的尺寸调整,最小内在尺寸,Predictable layout,Expensive measure,High,https://developer.android.com/jetpack/compose/layout/intrinsics
32,Layout,Use Arrangement and Alignment APIs,明确声明布局意图,使用安排/对齐,手动间距技巧,Declarative spacing,Magic spacing,High,
33,Layout,Extract reusable layout patterns,重复的布局应该共享,创建可组合布局,复制粘贴布局,Reusable scaffold,Duplicated layout,High,
34,Theming,No hardcoded text style,使用排版,MaterialTheme.typography,硬编码 sp,Scalable,Inconsistent,Medium,
35,Testing,Stateless UI testing,可组合，易于测试,通过状态,隐藏状态,Testable,Hard test,High,https://developer.android.com/jetpack/compose/testing
